        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                     -0.92218256
                    -175                      -1.0614927
                    -170                       -1.135552
                    -165                      -1.1361951
                    -160                      -1.0608827
                    -155                     -0.91323536
                    -150                      -0.7023604
                    -145                     -0.44123582
                    -140                     -0.14472899
                    -135                      0.17218536
                    -130                      0.49568251
                    -125                      0.81376635
                    -120                       1.1164853
                    -115                       1.3958544
                    -110                       1.6456319
                    -105                       1.8610517
                    -100                       2.0385693
                     -95                       2.1756478
                     -90                       2.2705914
                     -85                       2.3224057
                     -80                       2.3308082
                     -75                        2.296025
                     -70                       2.2188858
                     -65                       2.1007966
                     -60                       1.9437606
                     -55                       1.7504155
                     -50                       1.5240825
                     -45                       1.2688218
                     -40                      0.98949091
                     -35                      0.69179236
                     -30                      0.38229963
                     -25                     0.068439141
                     -20                     -0.24159584
                     -15                     -0.53902671
                     -10                     -0.81478922
                      -5                      -1.0599588
                       0                      -1.2662827
                       5                      -1.4267668
                      10                      -1.5362331
                      15                      -1.5917024
                      20                      -1.5926342
                      25                      -1.5408605
                      30                      -1.4403023
                      35                      -1.2965277
                      40                      -1.1162443
                      45                     -0.90680936
                      50                     -0.67581436
                      55                      -0.4307676
                      60                     -0.17887263
                      65                     0.073112568
                      70                      0.31895639
                      75                      0.55299341
                      80                       0.7701381
                      85                      0.96588345
                      90                       1.1363889
                      95                       1.2780877
                     100                       1.3882379
                     105                       1.4645414
                     110                       1.5052356
                     115                       1.5091009
                     120                       1.4754809
                     125                       1.4043206
                     130                       1.2962276
                     135                        1.152563
                     140                      0.97556968
                     145                      0.76854377
                     150                      0.53605067
                     155                       0.2841778
                     160                     0.020795008
                     165                     -0.24423868
                     170                     -0.49902839
                     175                     -0.72990889
                     180                     -0.92218256

