        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                     -0.54476784
                    -175                     -0.65311985
                    -170                     -0.69451889
                    -165                     -0.66486747
                    -160                      -0.5655588
                    -155                     -0.40315925
                    -150                     -0.18822157
                    -145                     0.066354788
                    -140                      0.34693649
                    -135                      0.64040831
                    -130                      0.93494801
                    -125                       1.2203744
                    -120                       1.4881949
                    -115                       1.7314815
                    -110                        1.944675
                    -105                       2.1233797
                    -100                       2.2641818
                     -95                       2.3645033
                     -90                       2.4224955
                     -85                       2.4369321
                     -80                       2.4073013
                     -75                       2.3335862
                     -70                       2.2163944
                     -65                       2.0569399
                     -60                       1.8570677
                     -55                       1.6192875
                     -50                       1.3468153
                     -45                       1.0436199
                     -40                      0.71447164
                     -35                      0.36499131
                     -30                    0.0016906673
                     -25                     -0.36800442
                     -20                     -0.73576471
                     -15                      -1.0924246
                     -10                      -1.4281346
                      -5                      -1.7326317
                       0                      -1.9956545
                       5                      -2.2075612
                      10                      -2.3598335
                      15                        -2.44608
                      20                      -2.4625393
                      25                       -2.408572
                      30                      -2.2867907
                      35                      -2.1028298
                      40                       -1.864804
                      45                       -1.582578
                      50                      -1.2669883
                      55                     -0.92913748
                      60                     -0.57983328
                      65                     -0.22919468
                      70                      0.11358859
                      75                      0.44037474
                      80                      0.74410304
                      85                       1.0187731
                      90                       1.2594193
                      95                       1.4619474
                     100                       1.6232424
                     105                       1.7409939
                     110                        1.813692
                     115                       1.8406072
                     120                       1.8217901
                     125                       1.7580975
                     130                       1.6512483
                     135                       1.5039132
                     140                        1.319843
                     145                       1.1040347
                     150                      0.86292616
                     155                      0.60459423
                     160                       0.3389047
                     165                     0.077528224
                     170                     -0.16629916
                     175                     -0.37840417
                     180                     -0.54476784

