        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                     -0.50816715
                    -175                     -0.60120395
                    -170                     -0.62788799
                    -165                     -0.58446633
                    -160                     -0.47276951
                    -155                     -0.29980435
                    -150                    -0.076474688
                    -145                      0.18412099
                    -140                      0.46832227
                    -135                      0.76314326
                    -130                       1.0570128
                    -125                       1.3400843
                    -120                       1.6042489
                    -115                       1.8429857
                    -110                       2.0511473
                    -105                        2.224741
                    -100                       2.3607372
                     -95                        2.456917
                     -90                        2.511759
                     -85                       2.5243534
                     -80                       2.4943995
                     -75                       2.4220973
                     -70                       2.3082049
                     -65                       2.1540266
                     -60                       1.9614287
                     -55                       1.7328617
                     -50                       1.4713859
                     -45                       1.1806996
                     -40                      0.86516533
                     -35                      0.52983281
                     -30                      0.18045511
                     -25                     -0.17650765
                     -20                     -0.53390361
                     -15                     -0.88393393
                     -10                      -1.2182413
                      -5                      -1.5280607
                       0                       -1.804453
                       5                        -2.03865
                      10                      -2.2224845
                      15                      -2.3489363
                      20                      -2.4127393
                      25                      -2.4109308
                      30                      -2.3432654
                      35                      -2.2123849
                      40                      -2.0236904
                      45                      -1.7849289
                      50                      -1.5055742
                      55                        -1.19612
                      60                     -0.86739965
                      65                     -0.53001492
                      70                     -0.19391397
                      75                      0.13188023
                      80                       0.4394135
                      85                       0.7218488
                      90                      0.97349414
                      95                       1.1895789
                     100                       1.3664598
                     105                       1.5013689
                     110                       1.5924102
                     115                       1.6385231
                     120                       1.6394709
                     125                       1.5958558
                     130                       1.5091686
                     135                       1.3818766
                     140                       1.2175527
                     145                       1.0210473
                     150                      0.79868988
                     155                      0.55849653
                     160                      0.31032622
                     165                     0.065896241
                     170                      -0.1614714
                     175                     -0.35751079
                     180                     -0.50816715

