        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       1.0134476
                    -175                       1.0134476
                    -170                       1.0134476
                    -165                       1.0134476
                    -160                       1.0134476
                    -155                       1.0134476
                    -150                       1.0134476
                    -145                       1.0134476
                    -140                       1.0134476
                    -135                       1.0134476
                    -130                       1.0134476
                    -125                       1.0134476
                    -120                       1.0134476
                    -115                       1.0134476
                    -110                       1.0134476
                    -105                       1.0134476
                    -100                       1.0134476
                     -95                       1.0134476
                     -90                       1.0134476
                     -85                       1.0134476
                     -80                       1.0134476
                     -75                       1.0134476
                     -70                       1.0134476
                     -65                       1.0134476
                     -60                       1.0134476
                     -55                       1.0134476
                     -50                       1.0134476
                     -45                       1.0134476
                     -40                       1.0134476
                     -35                       1.0134476
                     -30                       1.0134476
                     -25                       1.0134476
                     -20                       1.0134476
                     -15                       1.0134476
                     -10                       1.0134476
                      -5                       1.0134476
                       0                       1.0134476
                       5                       1.0134476
                      10                       1.0134476
                      15                       1.0134476
                      20                       1.0134476
                      25                       1.0134476
                      30                       1.0134476
                      35                       1.0134476
                      40                       1.0134476
                      45                       1.0134476
                      50                       1.0134476
                      55                       1.0134476
                      60                       1.0134476
                      65                       1.0134476
                      70                       1.0134476
                      75                       1.0134476
                      80                       1.0134476
                      85                       1.0134476
                      90                       1.0134476
                      95                       1.0134476
                     100                       1.0134476
                     105                       1.0134476
                     110                       1.0134476
                     115                       1.0134476
                     120                       1.0134476
                     125                       1.0134476
                     130                       1.0134476
                     135                       1.0134476
                     140                       1.0134476
                     145                       1.0134476
                     150                       1.0134476
                     155                       1.0134476
                     160                       1.0134476
                     165                       1.0134476
                     170                       1.0134476
                     175                       1.0134476
                     180                       1.0134476

