        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.2602482
                    -175                       2.2602482
                    -170                       2.2602482
                    -165                       2.2602482
                    -160                       2.2602482
                    -155                       2.2602482
                    -150                       2.2602482
                    -145                       2.2602482
                    -140                       2.2602482
                    -135                       2.2602482
                    -130                       2.2602482
                    -125                       2.2602482
                    -120                       2.2602482
                    -115                       2.2602482
                    -110                       2.2602482
                    -105                       2.2602482
                    -100                       2.2602482
                     -95                       2.2602482
                     -90                       2.2602482
                     -85                       2.2602482
                     -80                       2.2602482
                     -75                       2.2602482
                     -70                       2.2602482
                     -65                       2.2602482
                     -60                       2.2602482
                     -55                       2.2602482
                     -50                       2.2602482
                     -45                       2.2602482
                     -40                       2.2602482
                     -35                       2.2602482
                     -30                       2.2602482
                     -25                       2.2602482
                     -20                       2.2602482
                     -15                       2.2602482
                     -10                       2.2602482
                      -5                       2.2602482
                       0                       2.2602482
                       5                       2.2602482
                      10                       2.2602482
                      15                       2.2602482
                      20                       2.2602482
                      25                       2.2602482
                      30                       2.2602482
                      35                       2.2602482
                      40                       2.2602482
                      45                       2.2602482
                      50                       2.2602482
                      55                       2.2602482
                      60                       2.2602482
                      65                       2.2602482
                      70                       2.2602482
                      75                       2.2602482
                      80                       2.2602482
                      85                       2.2602482
                      90                       2.2602482
                      95                       2.2602482
                     100                       2.2602482
                     105                       2.2602482
                     110                       2.2602482
                     115                       2.2602482
                     120                       2.2602482
                     125                       2.2602482
                     130                       2.2602482
                     135                       2.2602482
                     140                       2.2602482
                     145                       2.2602482
                     150                       2.2602482
                     155                       2.2602482
                     160                       2.2602482
                     165                       2.2602482
                     170                       2.2602482
                     175                       2.2602482
                     180                       2.2602482

