        Phi / deg                Directivity,Theta=90.0/
----------------------------------------------------------------------
                    -180                      -10.818472
                    -175                      -13.448908
                    -170                      -15.211949
                    -165                      -14.172609
                    -160                      -11.558059
                    -155                       -9.042509
                    -150                      -6.9476581
                    -145                      -5.2237416
                    -140                       -3.789863
                    -135                      -2.5836378
                    -130                      -1.5614489
                    -125                     -0.69322931
                    -120                     0.041821245
                    -115                      0.65816791
                    -110                        1.165893
                    -105                       1.5720084
                    -100                       1.8813559
                     -95                       2.0972384
                     -90                       2.2218707
                     -85                       2.2567315
                     -80                       2.2027319
                     -75                       2.0604573
                     -70                         1.83026
                     -65                       1.5123516
                     -60                       1.1068634
                     -55                      0.61389455
                     -50                     0.033566394
                     -45                      -0.6338853
                     -40                      -1.3879199
                     -35                      -2.2272937
                     -30                      -3.1492473
                     -25                      -4.1479033
                     -20                      -5.2112181
                     -15                      -6.3155048
                     -10                      -7.4165813
                      -5                      -8.4386185
                       0                      -9.2688984
                       5                      -9.7778616
                      10                      -9.8767014
                      15                      -9.5737071
                      20                      -8.9654253
                      25                      -8.1738832
                      30                      -7.2972245
                      35                      -6.3979012
                      40                      -5.5108235
                      45                      -4.6543558
                      50                      -3.8382379
                      55                      -3.0681904
                      60                      -2.3482861
                      65                      -1.6820418
                      70                      -1.0728437
                      75                     -0.52405626
                      80                    -0.039002408
                      85                      0.37909105
                      90                      0.72718631
                      95                       1.0022542
                     100                       1.2015958
                     105                       1.3225522
                     110                       1.3625008
                     115                       1.3187412
                     120                       1.1883371
                     125                      0.96789747
                     130                      0.65327921
                     135                      0.23917619
                     140                     -0.28145279
                     145                     -0.91819561
                     150                      -1.6843611
                     155                      -2.5987131
                     160                      -3.6880676
                     165                      -4.9911417
                     170                      -6.5636956
                     175                      -8.4817428
                     180                      -10.818472

