        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.2200461
                    -175                       2.2200461
                    -170                       2.2200461
                    -165                       2.2200461
                    -160                       2.2200461
                    -155                       2.2200461
                    -150                       2.2200461
                    -145                       2.2200461
                    -140                       2.2200461
                    -135                       2.2200461
                    -130                       2.2200461
                    -125                       2.2200461
                    -120                       2.2200461
                    -115                       2.2200461
                    -110                       2.2200461
                    -105                       2.2200461
                    -100                       2.2200461
                     -95                       2.2200461
                     -90                       2.2200461
                     -85                       2.2200461
                     -80                       2.2200461
                     -75                       2.2200461
                     -70                       2.2200461
                     -65                       2.2200461
                     -60                       2.2200461
                     -55                       2.2200461
                     -50                       2.2200461
                     -45                       2.2200461
                     -40                       2.2200461
                     -35                       2.2200461
                     -30                       2.2200461
                     -25                       2.2200461
                     -20                       2.2200461
                     -15                       2.2200461
                     -10                       2.2200461
                      -5                       2.2200461
                       0                       2.2200461
                       5                       2.2200461
                      10                       2.2200461
                      15                       2.2200461
                      20                       2.2200461
                      25                       2.2200461
                      30                       2.2200461
                      35                       2.2200461
                      40                       2.2200461
                      45                       2.2200461
                      50                       2.2200461
                      55                       2.2200461
                      60                       2.2200461
                      65                       2.2200461
                      70                       2.2200461
                      75                       2.2200461
                      80                       2.2200461
                      85                       2.2200461
                      90                       2.2200461
                      95                       2.2200461
                     100                       2.2200461
                     105                       2.2200461
                     110                       2.2200461
                     115                       2.2200461
                     120                       2.2200461
                     125                       2.2200461
                     130                       2.2200461
                     135                       2.2200461
                     140                       2.2200461
                     145                       2.2200461
                     150                       2.2200461
                     155                       2.2200461
                     160                       2.2200461
                     165                       2.2200461
                     170                       2.2200461
                     175                       2.2200461
                     180                       2.2200461

