        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                     -0.36846564
                    -175                     -0.51860234
                    -170                     -0.60728293
                    -165                     -0.62758055
                    -160                     -0.57754035
                    -155                     -0.46047806
                    -150                     -0.28435628
                    -145                    -0.060465783
                    -140                       0.1981591
                    -135                      0.47817849
                    -130                      0.76699547
                    -125                       1.0533637
                    -120                       1.3276296
                    -115                       1.5817305
                    -110                       1.8090619
                    -105                       2.0042948
                    -100                       2.1631935
                     -95                       2.2824582
                     -90                       2.3596017
                     -85                       2.3928104
                     -80                       2.3810688
                     -75                       2.3238713
                     -70                       2.2213687
                     -65                       2.0743363
                     -60                        1.884193
                     -55                       1.6530333
                     -50                       1.3836713
                     -45                       1.0796967
                     -40                      0.74554149
                     -35                       0.3865574
                     -30                    0.0090994999
                     -25                     -0.37939283
                     -20                     -0.77033382
                     -15                      -1.1539771
                     -10                      -1.5194918
                      -5                      -1.8551868
                       0                      -2.1489411
                       5                      -2.3889289
                      10                      -2.5643747
                      15                      -2.6668395
                      20                      -2.6910908
                      25                      -2.6358504
                      30                      -2.5040151
                      35                      -2.3023116
                      40                      -2.0404843
                      45                      -1.7302345
                      50                      -1.3841524
                      55                      -1.0148202
                      60                      -0.6341682
                      65                     -0.25308306
                      70                      0.11878027
                      75                      0.47304546
                      80                      0.80257729
                      85                       1.1014019
                      90                       1.3646363
                      95                       1.5882976
                     100                       1.7693761
                     105                       1.9056622
                     110                       1.9957255
                     115                       2.0388838
                     120                       2.0351931
                     125                       1.9854597
                     130                       1.8912777
                     135                       1.7550966
                     140                       1.5803224
                     145                       1.3714532
                     150                       1.1342477
                     155                      0.87590923
                     160                      0.60525464
                     165                      0.33280403
                     170                     0.070698351
                     175                      -0.1676763
                     180                     -0.36846564

