        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                      -1.0595177
                    -175                       -1.218162
                    -170                      -1.3144362
                    -165                      -1.3388415
                    -160                      -1.2871162
                    -155                      -1.1611296
                    -150                     -0.96857252
                    -145                     -0.72156665
                    -140                     -0.43471155
                    -135                     -0.12317867
                    -130                      0.19873249
                    -125                      0.51844476
                    -120                      0.82543948
                    -115                       1.1112438
                    -110                       1.3692306
                    -105                        1.594348
                    -100                       1.7828505
                     -95                       1.9320644
                     -90                       2.0402023
                     -85                       2.1061975
                     -80                       2.1297334
                     -75                       2.1109886
                     -70                       2.0507519
                     -65                       1.9503873
                     -60                       1.8118579
                     -55                       1.6377685
                     -50                       1.4314233
                     -45                       1.1968932
                     -40                       0.9390848
                     -35                      0.66379847
                     -30                      0.37775612
                     -25                     0.088573739
                     -20                     -0.19535359
                     -15                     -0.46508606
                     -10                     -0.71151551
                      -5                      -0.9258825
                       0                      -1.1003942
                       5                      -1.2288613
                      10                      -1.3072444
                      15                      -1.3339434
                      20                      -1.3098803
                      25                      -1.2382425
                      30                      -1.1240261
                      35                     -0.97347309
                      40                     -0.79351519
                      45                     -0.59130378
                      50                     -0.37386242
                      55                     -0.14786311
                      60                     0.080495844
                      65                      0.30553992
                      70                       0.5221243
                      75                      0.72561701
                      80                      0.91187381
                      85                       1.0772129
                      90                       1.2184889
                      95                       1.3327077
                     100                       1.4175601
                     105                       1.4710633
                     110                        1.491655
                     115                        1.478208
                     120                        1.430057
                     125                       1.3470412
                     130                       1.2295671
                     135                       1.0786991
                     140                      0.89628419
                     145                      0.68511808
                     150                      0.44915685
                     155                      0.19376953
                     160                    -0.073988915
                     165                     -0.34513385
                     170                     -0.60862868
                     175                     -0.85152408
                     180                      -1.0595177

