        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                       1.0381104
                    -175                      0.92322474
                    -170                       0.7841592
                    -165                      0.62151155
                    -160                      0.43643226
                    -155                      0.23080783
                    -150                    0.0074834302
                    -145                     -0.22948614
                    -140                     -0.47458315
                    -135                     -0.72062223
                    -130                     -0.95867673
                    -125                        -1.17825
                    -120                      -1.3678142
                    -115                      -1.5157958
                    -110                      -1.6119621
                    -105                      -1.6489718
                    -100                      -1.6236841
                     -95                      -1.5377952
                     -90                      -1.3975691
                     -85                      -1.2127243
                     -80                     -0.99504599
                     -75                     -0.75668644
                     -70                     -0.50909213
                     -65                     -0.26223595
                     -60                    -0.024290384
                     -55                      0.19839759
                     -50                       0.4011515
                     -45                      0.58072742
                     -40                      0.73505673
                     -35                      0.86300557
                     -30                      0.96416767
                     -25                       1.0386957
                     -20                       1.0871706
                     -15                       1.1105066
                     -10                       1.1098865
                      -5                       1.0867261
                       0                       1.0426606
                       5                      0.97954787
                      10                      0.89949362
                      15                      0.80490346
                      20                      0.69849326
                      25                      0.58333249
                      30                      0.46286296
                      35                      0.34089153
                      40                       0.2215443
                      45                      0.10917078
                      50                    0.0081904241
                      55                    -0.077118271
                      60                     -0.14287472
                      65                     -0.18587436
                      70                     -0.20385159
                      75                     -0.19568586
                      80                     -0.16151373
                      85                     -0.10272517
                      90                    -0.021762416
                      95                     0.077773262
                     100                      0.19186311
                     105                       0.3160498
                     110                      0.44577774
                     115                      0.57661295
                     120                      0.70440551
                     125                      0.82539373
                     130                       0.9362569
                     135                       1.0341267
                     140                       1.1165687
                     145                        1.181545
                     150                       1.2273662
                     155                       1.2526417
                     160                       1.2562329
                     165                       1.2372155
                     170                       1.1948551
                     175                       1.1286001
                     180                       1.0381104

