        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.2374462
                    -175                       2.2374462
                    -170                       2.2374462
                    -165                       2.2374462
                    -160                       2.2374462
                    -155                       2.2374462
                    -150                       2.2374462
                    -145                       2.2374462
                    -140                       2.2374462
                    -135                       2.2374462
                    -130                       2.2374462
                    -125                       2.2374462
                    -120                       2.2374462
                    -115                       2.2374462
                    -110                       2.2374462
                    -105                       2.2374462
                    -100                       2.2374462
                     -95                       2.2374462
                     -90                       2.2374462
                     -85                       2.2374462
                     -80                       2.2374462
                     -75                       2.2374462
                     -70                       2.2374462
                     -65                       2.2374462
                     -60                       2.2374462
                     -55                       2.2374462
                     -50                       2.2374462
                     -45                       2.2374462
                     -40                       2.2374462
                     -35                       2.2374462
                     -30                       2.2374462
                     -25                       2.2374462
                     -20                       2.2374462
                     -15                       2.2374462
                     -10                       2.2374462
                      -5                       2.2374462
                       0                       2.2374462
                       5                       2.2374462
                      10                       2.2374462
                      15                       2.2374462
                      20                       2.2374462
                      25                       2.2374462
                      30                       2.2374462
                      35                       2.2374462
                      40                       2.2374462
                      45                       2.2374462
                      50                       2.2374462
                      55                       2.2374462
                      60                       2.2374462
                      65                       2.2374462
                      70                       2.2374462
                      75                       2.2374462
                      80                       2.2374462
                      85                       2.2374462
                      90                       2.2374462
                      95                       2.2374462
                     100                       2.2374462
                     105                       2.2374462
                     110                       2.2374462
                     115                       2.2374462
                     120                       2.2374462
                     125                       2.2374462
                     130                       2.2374462
                     135                       2.2374462
                     140                       2.2374462
                     145                       2.2374462
                     150                       2.2374462
                     155                       2.2374462
                     160                       2.2374462
                     165                       2.2374462
                     170                       2.2374462
                     175                       2.2374462
                     180                       2.2374462

