        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                     -0.10012818
                    -175                     -0.21663975
                    -170                       -0.277028
                    -165                     -0.27591206
                    -160                     -0.21253557
                    -155                    -0.090797991
                    -150                     0.081478673
                    -145                      0.29379647
                    -140                      0.53436818
                    -135                      0.79132198
                    -130                       1.0535525
                    -125                       1.3111987
                    -120                       1.5558208
                    -115                       1.7803795
                    -110                       1.9791117
                    -105                       2.1473667
                    -100                       2.2814458
                     -95                       2.3784649
                     -90                       2.4362469
                     -85                       2.4532491
                     -80                       2.4284943
                     -75                       2.3615649
                     -70                       2.2525762
                     -65                       2.1021778
                     -60                       1.9115611
                     -55                       1.6824724
                     -50                         1.41723
                     -45                       1.1187441
                     -40                      0.79054021
                     -35                       0.4367865
                     -30                     0.062327264
                     -25                     -0.32727465
                     -20                     -0.72568479
                     -15                      -1.1257336
                     -10                      -1.5193485
                      -5                      -1.8975002
                       0                       -2.250197
                       5                      -2.5665746
                      10                      -2.8352533
                      15                      -3.0447811
                      20                      -3.1846052
                      25                      -3.2461985
                      30                      -3.2243005
                      35                      -3.1179396
                      40                      -2.9309134
                      45                      -2.6715374
                      50                      -2.3517166
                      55                      -1.9856076
                      60                      -1.5882212
                      65                      -1.1742444
                      70                     -0.75721874
                      75                     -0.34907984
                      80                     0.040015792
                      85                      0.40167249
                      90                      0.72913039
                      95                       1.0170995
                     100                       1.2615919
                     105                       1.4597629
                     110                       1.6097888
                     115                       1.7107753
                     120                       1.7627001
                     125                       1.7663906
                     130                       1.7235382
                     135                       1.6367494
                     140                       1.5096343
                     145                       1.3469303
                     150                       1.1546515
                     155                      0.94024244
                     160                      0.71269679
                     165                      0.48257274
                     170                      0.26181498
                     175                     0.063278759
                     180                     -0.10012818

