        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.2016106
                    -175                       2.2016106
                    -170                       2.2016106
                    -165                       2.2016106
                    -160                       2.2016106
                    -155                       2.2016106
                    -150                       2.2016106
                    -145                       2.2016106
                    -140                       2.2016106
                    -135                       2.2016106
                    -130                       2.2016106
                    -125                       2.2016106
                    -120                       2.2016106
                    -115                       2.2016106
                    -110                       2.2016106
                    -105                       2.2016106
                    -100                       2.2016106
                     -95                       2.2016106
                     -90                       2.2016106
                     -85                       2.2016106
                     -80                       2.2016106
                     -75                       2.2016106
                     -70                       2.2016106
                     -65                       2.2016106
                     -60                       2.2016106
                     -55                       2.2016106
                     -50                       2.2016106
                     -45                       2.2016106
                     -40                       2.2016106
                     -35                       2.2016106
                     -30                       2.2016106
                     -25                       2.2016106
                     -20                       2.2016106
                     -15                       2.2016106
                     -10                       2.2016106
                      -5                       2.2016106
                       0                       2.2016106
                       5                       2.2016106
                      10                       2.2016106
                      15                       2.2016106
                      20                       2.2016106
                      25                       2.2016106
                      30                       2.2016106
                      35                       2.2016106
                      40                       2.2016106
                      45                       2.2016106
                      50                       2.2016106
                      55                       2.2016106
                      60                       2.2016106
                      65                       2.2016106
                      70                       2.2016106
                      75                       2.2016106
                      80                       2.2016106
                      85                       2.2016106
                      90                       2.2016106
                      95                       2.2016106
                     100                       2.2016106
                     105                       2.2016106
                     110                       2.2016106
                     115                       2.2016106
                     120                       2.2016106
                     125                       2.2016106
                     130                       2.2016106
                     135                       2.2016106
                     140                       2.2016106
                     145                       2.2016106
                     150                       2.2016106
                     155                       2.2016106
                     160                       2.2016106
                     165                       2.2016106
                     170                       2.2016106
                     175                       2.2016106
                     180                       2.2016106

