        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.2007971
                    -175                       2.2007971
                    -170                       2.2007971
                    -165                       2.2007971
                    -160                       2.2007971
                    -155                       2.2007971
                    -150                       2.2007971
                    -145                       2.2007971
                    -140                       2.2007971
                    -135                       2.2007971
                    -130                       2.2007971
                    -125                       2.2007971
                    -120                       2.2007971
                    -115                       2.2007971
                    -110                       2.2007971
                    -105                       2.2007971
                    -100                       2.2007971
                     -95                       2.2007971
                     -90                       2.2007971
                     -85                       2.2007971
                     -80                       2.2007971
                     -75                       2.2007971
                     -70                       2.2007971
                     -65                       2.2007971
                     -60                       2.2007971
                     -55                       2.2007971
                     -50                       2.2007971
                     -45                       2.2007971
                     -40                       2.2007971
                     -35                       2.2007971
                     -30                       2.2007971
                     -25                       2.2007971
                     -20                       2.2007971
                     -15                       2.2007971
                     -10                       2.2007971
                      -5                       2.2007971
                       0                       2.2007971
                       5                       2.2007971
                      10                       2.2007971
                      15                       2.2007971
                      20                       2.2007971
                      25                       2.2007971
                      30                       2.2007971
                      35                       2.2007971
                      40                       2.2007971
                      45                       2.2007971
                      50                       2.2007971
                      55                       2.2007971
                      60                       2.2007971
                      65                       2.2007971
                      70                       2.2007971
                      75                       2.2007971
                      80                       2.2007971
                      85                       2.2007971
                      90                       2.2007971
                      95                       2.2007971
                     100                       2.2007971
                     105                       2.2007971
                     110                       2.2007971
                     115                       2.2007971
                     120                       2.2007971
                     125                       2.2007971
                     130                       2.2007971
                     135                       2.2007971
                     140                       2.2007971
                     145                       2.2007971
                     150                       2.2007971
                     155                       2.2007971
                     160                       2.2007971
                     165                       2.2007971
                     170                       2.2007971
                     175                       2.2007971
                     180                       2.2007971

