        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                      0.98751869
                    -175                      0.93949946
                    -170                      0.87242656
                    -165                       0.7855905
                    -160                      0.67859063
                    -155                      0.55141322
                    -150                      0.40453454
                    -145                      0.23905035
                    -140                     0.056830501
                    -135                      -0.1393078
                    -130                     -0.34542365
                    -125                     -0.55630203
                    -120                     -0.76537626
                    -115                     -0.96478879
                    -110                      -1.1456662
                    -105                      -1.2986713
                    -100                       -1.414845
                     -95                      -1.4866533
                     -90                      -1.5090455
                     -85                      -1.4801919
                     -80                      -1.4020119
                     -75                      -1.2795768
                     -70                      -1.1204858
                     -65                     -0.93376631
                     -60                     -0.72881703
                     -55                     -0.51455503
                     -50                     -0.29885403
                     -45                     -0.08826343
                     -40                       0.1120539
                     -35                      0.29824154
                     -30                      0.46759322
                     -25                      0.61836842
                     -20                      0.74960957
                     -15                       0.8609771
                     -10                      0.95260915
                      -5                       1.0250071
                       0                       1.0789459
                       5                        1.115382
                      10                       1.1354777
                      15                       1.1404781
                      20                       1.1317304
                      25                        1.110663
                      30                       1.0787795
                      35                       1.0376583
                      40                      0.98895595
                      45                      0.93441215
                      50                      0.87585378
                      55                       0.8151939
                      60                      0.75442222
                      65                      0.69558214
                      70                      0.64073084
                      75                      0.59187962
                      80                      0.55091495
                      85                        0.519504
                      90                       0.4990375
                      95                      0.49036774
                     100                      0.49394743
                     105                      0.50964801
                     110                      0.53677407
                     115                      0.57409141
                     120                      0.61989322
                     125                      0.67209496
                     130                      0.72834531
                     135                      0.78613927
                     140                      0.84292211
                     145                      0.89617562
                     150                      0.94348298
                     155                      0.98257212
                     160                       1.0113404
                     165                       1.0278653
                     170                       1.0304069
                     175                       1.0174078
                     180                      0.98751869

