        Phi / deg                Directivity,Theta=90.0/
----------------------------------------------------------------------
                    -180                       -11.86811
                    -175                      -12.320488
                    -170                      -11.250218
                    -165                      -9.4319946
                    -160                      -7.5714195
                    -155                       -5.904976
                    -150                      -4.4636014
                    -145                      -3.2251365
                    -140                      -2.1605848
                    -135                      -1.2451925
                    -130                     -0.45999348
                    -125                      0.20892666
                    -120                      0.77151397
                    -115                       1.2347084
                    -110                       1.6032099
                    -105                       1.8800713
                    -100                       2.0671556
                     -95                       2.1654913
                     -90                       2.1755511
                     -85                       2.0975245
                     -80                       1.9313375
                     -75                       1.6770155
                     -70                       1.3347037
                     -65                      0.90485308
                     -60                      0.38841672
                     -55                      -0.2128667
                     -50                      -0.8960262
                     -45                      -1.6561292
                     -40                      -2.4850893
                     -35                      -3.3697676
                     -30                      -4.2891326
                     -25                      -5.2105208
                     -20                      -6.0860096
                     -15                      -6.8519576
                     -10                      -7.4369408
                      -5                      -7.7812447
                       0                      -7.8604432
                       5                      -7.6952633
                      10                      -7.3387313
                      15                      -6.8521992
                      20                      -6.2877026
                      25                      -5.6819089
                      30                      -5.0577478
                      35                      -4.4286427
                      40                      -3.8025747
                      45                      -3.1850823
                      50                      -2.5811497
                      55                      -1.9961906
                      60                      -1.4363831
                      65                     -0.90859193
                      70                      -0.4200786
                      75                     0.021848395
                      80                      0.41014486
                      85                      0.73825385
                      90                       1.0002902
                      95                       1.1908281
                     100                       1.3052078
                     105                       1.3391767
                     110                        1.288794
                     115                       1.1502217
                     120                      0.91946282
                     125                      0.59203642
                     130                      0.16256624
                     135                     -0.37574649
                     140                      -1.0318055
                     145                      -1.8174953
                     150                      -2.7487503
                     155                      -3.8466325
                     160                       -5.137542
                     165                      -6.6491301
                     170                      -8.3893236
                     175                       -10.26653
                     180                       -11.86811

