        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                      0.11903195
                    -175                      0.23227522
                    -170                      0.34345016
                    -165                      0.44774085
                    -160                      0.54072996
                    -155                      0.61845577
                    -150                      0.67743973
                    -145                      0.71469737
                    -140                      0.72774384
                    -135                      0.71460325
                    -130                       0.6738292
                    -125                      0.60454252
                    -120                      0.50649122
                    -115                      0.38013656
                    -110                      0.22676784
                    -105                       0.0486454
                    -100                     -0.15083377
                     -95                     -0.36696294
                     -90                     -0.59357442
                     -85                     -0.82293847
                     -80                      -1.0458982
                     -75                      -1.2520664
                     -70                      -1.4304672
                     -65                      -1.5704432
                     -60                      -1.6628145
                     -55                      -1.7010687
                     -50                      -1.6822815
                     -45                      -1.6074905
                     -40                      -1.4814041
                     -35                      -1.3115486
                     -30                      -1.1071236
                     -25                      -0.8778668
                     -20                     -0.63314896
                     -15                     -0.38138866
                     -10                     -0.12976896
                      -5                      0.11581681
                       0                      0.35067591
                       5                        0.571139
                      10                      0.77443044
                      15                       0.9584405
                      20                       1.1215988
                      25                       1.2627537
                      30                       1.3810821
                      35                       1.4760264
                      40                       1.5472529
                      45                       1.5946294
                      50                       1.6182179
                      55                       1.6182792
                      60                       1.5952874
                      65                       1.5499529
                      70                       1.4832514
                      75                       1.3964584
                      80                       1.2911877
                      85                       1.1694312
                      90                        1.033581
                      95                      0.88653455
                     100                      0.73159252
                     105                      0.57254586
                     110                       0.4136153
                     115                      0.25937035
                     120                      0.11459217
                     125                    -0.015925723
                     130                     -0.12763532
                     135                     -0.21653374
                     140                      -0.2794729
                     145                     -0.31443599
                     150                     -0.32073524
                     155                     -0.29909455
                     160                     -0.25160134
                     165                     -0.18153778
                     170                    -0.093123457
                     175                    0.0087858654
                     180                      0.11903195

