        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.0998787
                    -175                       2.0998787
                    -170                       2.0998787
                    -165                       2.0998787
                    -160                       2.0998787
                    -155                       2.0998787
                    -150                       2.0998787
                    -145                       2.0998787
                    -140                       2.0998787
                    -135                       2.0998787
                    -130                       2.0998787
                    -125                       2.0998787
                    -120                       2.0998787
                    -115                       2.0998787
                    -110                       2.0998787
                    -105                       2.0998787
                    -100                       2.0998787
                     -95                       2.0998787
                     -90                       2.0998787
                     -85                       2.0998787
                     -80                       2.0998787
                     -75                       2.0998787
                     -70                       2.0998787
                     -65                       2.0998787
                     -60                       2.0998787
                     -55                       2.0998787
                     -50                       2.0998787
                     -45                       2.0998787
                     -40                       2.0998787
                     -35                       2.0998787
                     -30                       2.0998787
                     -25                       2.0998787
                     -20                       2.0998787
                     -15                       2.0998787
                     -10                       2.0998787
                      -5                       2.0998787
                       0                       2.0998787
                       5                       2.0998787
                      10                       2.0998787
                      15                       2.0998787
                      20                       2.0998787
                      25                       2.0998787
                      30                       2.0998787
                      35                       2.0998787
                      40                       2.0998787
                      45                       2.0998787
                      50                       2.0998787
                      55                       2.0998787
                      60                       2.0998787
                      65                       2.0998787
                      70                       2.0998787
                      75                       2.0998787
                      80                       2.0998787
                      85                       2.0998787
                      90                       2.0998787
                      95                       2.0998787
                     100                       2.0998787
                     105                       2.0998787
                     110                       2.0998787
                     115                       2.0998787
                     120                       2.0998787
                     125                       2.0998787
                     130                       2.0998787
                     135                       2.0998787
                     140                       2.0998787
                     145                       2.0998787
                     150                       2.0998787
                     155                       2.0998787
                     160                       2.0998787
                     165                       2.0998787
                     170                       2.0998787
                     175                       2.0998787
                     180                       2.0998787

