        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                        2.214719
                    -175                        2.214719
                    -170                        2.214719
                    -165                        2.214719
                    -160                        2.214719
                    -155                        2.214719
                    -150                        2.214719
                    -145                        2.214719
                    -140                        2.214719
                    -135                        2.214719
                    -130                        2.214719
                    -125                        2.214719
                    -120                        2.214719
                    -115                        2.214719
                    -110                        2.214719
                    -105                        2.214719
                    -100                        2.214719
                     -95                        2.214719
                     -90                        2.214719
                     -85                        2.214719
                     -80                        2.214719
                     -75                        2.214719
                     -70                        2.214719
                     -65                        2.214719
                     -60                        2.214719
                     -55                        2.214719
                     -50                        2.214719
                     -45                        2.214719
                     -40                        2.214719
                     -35                        2.214719
                     -30                        2.214719
                     -25                        2.214719
                     -20                        2.214719
                     -15                        2.214719
                     -10                        2.214719
                      -5                        2.214719
                       0                        2.214719
                       5                        2.214719
                      10                        2.214719
                      15                        2.214719
                      20                        2.214719
                      25                        2.214719
                      30                        2.214719
                      35                        2.214719
                      40                        2.214719
                      45                        2.214719
                      50                        2.214719
                      55                        2.214719
                      60                        2.214719
                      65                        2.214719
                      70                        2.214719
                      75                        2.214719
                      80                        2.214719
                      85                        2.214719
                      90                        2.214719
                      95                        2.214719
                     100                        2.214719
                     105                        2.214719
                     110                        2.214719
                     115                        2.214719
                     120                        2.214719
                     125                        2.214719
                     130                        2.214719
                     135                        2.214719
                     140                        2.214719
                     145                        2.214719
                     150                        2.214719
                     155                        2.214719
                     160                        2.214719
                     165                        2.214719
                     170                        2.214719
                     175                        2.214719
                     180                        2.214719

