        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                     0.087329862
                    -175                      0.20552581
                    -170                       0.3237919
                    -165                      0.43709827
                    -160                      0.54083253
                    -155                      0.63086562
                    -150                      0.70358321
                    -145                      0.75589721
                    -140                      0.78524938
                    -135                       0.7896171
                    -130                      0.76752862
                    -125                      0.71809371
                    -120                      0.64105377
                    -115                      0.53685445
                    -110                      0.40674186
                    -105                      0.25288057
                    -100                     0.078486961
                     -95                     -0.11203676
                     -90                     -0.31299381
                     -85                     -0.51734097
                     -80                     -0.71679292
                     -75                     -0.90207227
                     -70                      -1.0634147
                     -65                      -1.1913321
                     -60                      -1.2775592
                     -55                      -1.3160273
                     -50                      -1.3036417
                     -45                      -1.2406493
                     -40                      -1.1304887
                     -35                     -0.97917687
                     -30                     -0.79441667
                     -25                     -0.58465512
                     -20                     -0.35828112
                     -15                     -0.12305898
                     -10                      0.11419065
                      -5                      0.34770618
                       0                      0.57276017
                       5                      0.78552486
                      10                      0.98303734
                      15                       1.1629217
                      20                       1.3233378
                      25                       1.4628587
                      30                       1.5803886
                      35                       1.6751034
                      40                       1.7464125
                      45                       1.7939372
                      50                       1.8175046
                      55                       1.8171529
                      60                       1.7931471
                      65                       1.7460022
                      70                       1.6765138
                      75                       1.5857944
                      80                       1.4753135
                      85                       1.3469412
                      90                       1.2029769
                      95                       1.0462548
                     100                      0.88005387
                     105                      0.70819646
                     110                      0.53499849
                     115                       0.3652012
                     120                      0.20384451
                     125                      0.05607306
                     130                    -0.073125611
                     135                     -0.17923714
                     140                     -0.25856026
                     145                     -0.30852508
                     150                     -0.32793793
                     155                      -0.3171074
                     160                      -0.2778273
                     165                     -0.21322072
                     170                     -0.12747661
                     175                    -0.025527283
                     180                     0.087329862

