        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.1052545
                    -175                       2.1052545
                    -170                       2.1052545
                    -165                       2.1052545
                    -160                       2.1052545
                    -155                       2.1052545
                    -150                       2.1052545
                    -145                       2.1052545
                    -140                       2.1052545
                    -135                       2.1052545
                    -130                       2.1052545
                    -125                       2.1052545
                    -120                       2.1052545
                    -115                       2.1052545
                    -110                       2.1052545
                    -105                       2.1052545
                    -100                       2.1052545
                     -95                       2.1052545
                     -90                       2.1052545
                     -85                       2.1052545
                     -80                       2.1052545
                     -75                       2.1052545
                     -70                       2.1052545
                     -65                       2.1052545
                     -60                       2.1052545
                     -55                       2.1052545
                     -50                       2.1052545
                     -45                       2.1052545
                     -40                       2.1052545
                     -35                       2.1052545
                     -30                       2.1052545
                     -25                       2.1052545
                     -20                       2.1052545
                     -15                       2.1052545
                     -10                       2.1052545
                      -5                       2.1052545
                       0                       2.1052545
                       5                       2.1052545
                      10                       2.1052545
                      15                       2.1052545
                      20                       2.1052545
                      25                       2.1052545
                      30                       2.1052545
                      35                       2.1052545
                      40                       2.1052545
                      45                       2.1052545
                      50                       2.1052545
                      55                       2.1052545
                      60                       2.1052545
                      65                       2.1052545
                      70                       2.1052545
                      75                       2.1052545
                      80                       2.1052545
                      85                       2.1052545
                      90                       2.1052545
                      95                       2.1052545
                     100                       2.1052545
                     105                       2.1052545
                     110                       2.1052545
                     115                       2.1052545
                     120                       2.1052545
                     125                       2.1052545
                     130                       2.1052545
                     135                       2.1052545
                     140                       2.1052545
                     145                       2.1052545
                     150                       2.1052545
                     155                       2.1052545
                     160                       2.1052545
                     165                       2.1052545
                     170                       2.1052545
                     175                       2.1052545
                     180                       2.1052545

