        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.0459026
                    -175                       2.0459026
                    -170                       2.0459026
                    -165                       2.0459026
                    -160                       2.0459026
                    -155                       2.0459026
                    -150                       2.0459026
                    -145                       2.0459026
                    -140                       2.0459026
                    -135                       2.0459026
                    -130                       2.0459026
                    -125                       2.0459026
                    -120                       2.0459026
                    -115                       2.0459026
                    -110                       2.0459026
                    -105                       2.0459026
                    -100                       2.0459026
                     -95                       2.0459026
                     -90                       2.0459026
                     -85                       2.0459026
                     -80                       2.0459026
                     -75                       2.0459026
                     -70                       2.0459026
                     -65                       2.0459026
                     -60                       2.0459026
                     -55                       2.0459026
                     -50                       2.0459026
                     -45                       2.0459026
                     -40                       2.0459026
                     -35                       2.0459026
                     -30                       2.0459026
                     -25                       2.0459026
                     -20                       2.0459026
                     -15                       2.0459026
                     -10                       2.0459026
                      -5                       2.0459026
                       0                       2.0459026
                       5                       2.0459026
                      10                       2.0459026
                      15                       2.0459026
                      20                       2.0459026
                      25                       2.0459026
                      30                       2.0459026
                      35                       2.0459026
                      40                       2.0459026
                      45                       2.0459026
                      50                       2.0459026
                      55                       2.0459026
                      60                       2.0459026
                      65                       2.0459026
                      70                       2.0459026
                      75                       2.0459026
                      80                       2.0459026
                      85                       2.0459026
                      90                       2.0459026
                      95                       2.0459026
                     100                       2.0459026
                     105                       2.0459026
                     110                       2.0459026
                     115                       2.0459026
                     120                       2.0459026
                     125                       2.0459026
                     130                       2.0459026
                     135                       2.0459026
                     140                       2.0459026
                     145                       2.0459026
                     150                       2.0459026
                     155                       2.0459026
                     160                       2.0459026
                     165                       2.0459026
                     170                       2.0459026
                     175                       2.0459026
                     180                       2.0459026

