        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                     -0.36066808
                    -175                     -0.48709177
                    -170                     -0.54988052
                    -165                     -0.54381125
                    -160                     -0.46888793
                    -155                     -0.33026504
                    -150                     -0.13729139
                    -145                     0.097986705
                    -140                      0.36240715
                    -135                       0.6429986
                    -130                      0.92784852
                    -125                       1.2065446
                    -120                       1.4702952
                    -115                       1.7118526
                    -110                       1.9253444
                    -105                       2.1060791
                    -100                       2.2503665
                     -95                       2.3553704
                     -90                        2.418996
                     -85                       2.4397649
                     -80                       2.4169449
                     -75                       2.3502725
                     -70                       2.2401048
                     -65                       2.0873896
                     -60                        1.893683
                     -55                       1.6611765
                     -50                       1.3927307
                     -45                       1.0919149
                     -40                       0.7630523
                     -35                       0.4112684
                     -30                     0.042542028
                     -25                     -0.33624747
                     -20                     -0.71728545
                     -15                      -1.0918164
                     -10                      -1.4501943
                      -5                      -1.7820261
                       0                      -2.0764547
                       5                      -2.3226727
                      10                      -2.5104166
                      15                      -2.6310537
                      20                      -2.6783442
                      25                      -2.6492825
                      30                      -2.5446002
                      35                       -2.368817
                      40                      -2.1298101
                      45                      -1.8380087
                      50                      -1.5054073
                      55                      -1.1445992
                      60                     -0.76797491
                      65                     -0.38714945
                      70                    -0.012615891
                      75                      0.34641812
                      80                      0.68206527
                      85                      0.98771506
                      90                       1.2579809
                      95                       1.4884769
                     100                       1.6759226
                     105                       1.8179228
                     110                       1.9129414
                     115                       1.9602595
                     120                       1.9599579
                     125                       1.9129263
                     130                       1.8209034
                     135                       1.6865507
                     140                       1.5135639
                     145                       1.3068221
                     150                       1.0725651
                     155                       0.8185809
                     160                      0.55435616
                     165                      0.29111575
                     170                     0.041642456
                     175                     -0.18024878
                     180                     -0.36066808

