        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                     -0.59176229
                    -175                     -0.78537649
                    -170                     -0.93435123
                    -165                      -1.0259763
                    -160                      -1.0506926
                    -155                      -1.0037904
                    -150                     -0.88635752
                    -145                     -0.70511616
                    -140                     -0.47120963
                    -135                     -0.19839048
                    -130                     0.098817819
                    -125                      0.40656459
                    -120                      0.71256149
                    -115                        1.006468
                    -110                       1.2799203
                    -105                       1.5263584
                    -100                       1.7407689
                     -95                       1.9194188
                     -90                       2.0596168
                     -85                       2.1595172
                     -80                       2.2179804
                     -75                       2.2344477
                     -70                       2.2088892
                     -65                       2.1417596
                     -60                       2.0339858
                     -55                       1.8869789
                     -50                        1.702666
                     -45                       1.4835429
                     -40                       1.2327445
                     -35                      0.95413307
                     -30                      0.65239812
                     -25                      0.33316122
                     -20                    0.0030690091
                     -15                     -0.33015049
                     -10                     -0.65770612
                      -5                     -0.96988442
                       0                      -1.2563645
                       5                      -1.5066852
                      10                      -1.7112116
                      15                      -1.8616525
                      20                      -1.9521616
                      25                      -1.9799447
                      30                      -1.9455582
                      35                      -1.8527596
                      40                      -1.7079568
                      45                      -1.5194098
                      50                      -1.2963752
                      55                      -1.0483502
                      60                     -0.78450476
                      65                     -0.51331964
                      70                     -0.24240155
                      75                     0.021571934
                      80                      0.27282607
                      85                      0.50641991
                      90                      0.71818519
                      95                      0.90454969
                     100                       1.0625953
                     105                        1.189913
                     110                       1.2845777
                     115                       1.3451194
                     120                       1.3705121
                     125                         1.36018
                     130                       1.3140252
                     135                       1.2324799
                     140                       1.1165878
                     145                      0.96812177
                     150                      0.78974262
                     155                      0.58520257
                     160                      0.35958908
                     165                       0.1195889
                     170                     -0.12627354
                     175                     -0.36750842
                     180                     -0.59176229

