        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                      0.96651447
                    -175                      0.80339509
                    -170                      0.62865955
                    -165                      0.44842382
                    -160                      0.26976992
                    -155                      0.10066717
                    -150                    -0.050274447
                    -145                     -0.17426662
                    -140                     -0.26303063
                    -135                     -0.30965129
                    -130                     -0.30945405
                    -125                     -0.26070253
                    -120                     -0.16492224
                    -115                    -0.026748392
                    -110                      0.14666287
                    -105                      0.34649799
                    -100                       0.5632138
                     -95                      0.78735186
                     -90                       1.0101395
                     -85                       1.2239079
                     -80                       1.4220799
                     -75                       1.5994248
                     -70                       1.7518541
                     -65                       1.8763332
                     -60                       1.9707463
                     -55                       2.0337637
                     -50                       2.0647171
                     -45                       2.0634898
                     -40                       2.0304213
                     -35                       1.9662251
                     -30                       1.8719217
                     -25                       1.7487846
                     -20                       1.5983015
                     -15                       1.4221542
                     -10                       1.2222173
                      -5                       1.0005837
                       0                      0.75961888
                       5                      0.50206686
                      10                      0.23110448
                      15                    -0.049369894
                      20                     -0.33462917
                      25                     -0.61888474
                      30                     -0.89510615
                      35                      -1.1549342
                      40                      -1.3887795
                      45                      -1.5862126
                      50                      -1.7367266
                      55                      -1.8308688
                      60                      -1.8615873
                      65                      -1.8254846
                      70                       -1.723599
                      75                       -1.561438
                      80                      -1.3482402
                      85                      -1.0957076
                      90                     -0.81658956
                      95                      -0.5233853
                     100                     -0.22759412
                     105                     0.060898167
                     110                       0.3339523
                     115                      0.58513442
                     120                      0.80955685
                     125                       1.0036712
                     130                       1.1650576
                     135                       1.2922338
                     140                       1.3844945
                     145                       1.4417843
                     150                       1.4646035
                     155                       1.4539466
                     160                       1.4112709
                     165                       1.3384963
                     170                       1.2380343
                     175                       1.1128465
                     180                      0.96651447

