        Phi / deg                Directivity,Theta=90.0/
----------------------------------------------------------------------
                    -180                      -1.4014531
                    -175                      -1.0428161
                    -170                     -0.70351024
                    -165                     -0.39273613
                    -160                      -0.1176601
                    -155                      0.11604371
                    -150                      0.30374315
                    -145                      0.44149803
                    -140                      0.52579826
                    -135                       0.5533727
                    -130                       0.5210521
                    -125                      0.42567374
                    -120                      0.26402152
                    -115                     0.032803066
                    -110                     -0.27132263
                    -105                     -0.65163469
                    -100                      -1.1110918
                     -95                       -1.651802
                     -90                      -2.2739958
                     -85                      -2.9741182
                     -80                      -3.7413367
                     -75                      -4.5518211
                     -70                      -5.3602328
                     -65                      -6.0910915
                     -60                      -6.6395682
                     -55                      -6.8979096
                     -50                      -6.8080607
                     -45                        -6.39875
                     -40                      -5.7648738
                     -35                      -5.0136169
                     -30                      -4.2279728
                     -25                      -3.4595522
                     -20                        -2.73577
                     -15                      -2.0689287
                     -10                      -1.4629281
                      -5                     -0.91740114
                       0                     -0.43005659
                       5                    0.0020361454
                      10                      0.38185581
                      15                      0.71204997
                      20                      0.99483063
                      25                       1.2319444
                      30                       1.4246979
                      35                       1.5740114
                      40                       1.6804861
                      45                       1.7444764
                      50                       1.7661647
                      55                       1.7456343
                      60                       1.6829432
                      65                       1.5781998
                      70                       1.4316437
                      75                       1.2437391
                      80                       1.0152881
                      85                      0.74757646
                      90                      0.44254728
                      95                      0.10314084
                     100                     -0.26650103
                     105                     -0.66049792
                     110                      -1.0707346
                     115                      -1.4862993
                     120                      -1.8930184
                     125                      -2.2733404
                     130                      -2.6069436
                     135                      -2.8724582
                     140                      -3.0504212
                     145                      -3.1269649
                     150                      -3.0970153
                     155                      -2.9655977
                     160                      -2.7466057
                     165                      -2.4596527
                     170                       -2.126404
                     175                      -1.7676228
                     180                      -1.4014531

