        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                      0.59710126
                    -175                      0.38051213
                    -170                      0.16322396
                    -165                     -0.04465342
                    -160                     -0.23176016
                    -155                     -0.38611548
                    -150                     -0.49616516
                    -145                     -0.55216679
                    -140                     -0.54765096
                    -135                     -0.48055859
                    -130                     -0.35367557
                    -125                     -0.17420293
                    -120                     0.047388073
                    -115                      0.29884196
                    -110                      0.56754225
                    -105                      0.84160092
                    -100                        1.110525
                     -95                       1.3655077
                     -90                       1.5994513
                     -85                       1.8068805
                     -80                       1.9835672
                     -75                       2.1265597
                     -70                       2.2338253
                     -65                       2.3041138
                     -60                       2.3368168
                     -55                        2.331854
                     -50                       2.2895859
                     -45                       2.2107459
                     -40                       2.0963899
                     -35                       1.9478612
                     -30                       1.7667701
                     -25                       1.5549894
                     -20                       1.3146701
                     -15                       1.0482817
                     -10                      0.75868458
                      -5                      0.44924173
                       0                      0.12397613
                       5                     -0.21217687
                      10                     -0.55331183
                      15                     -0.89200654
                      20                       -1.219301
                      25                      -1.5245723
                      30                      -1.7957364
                      35                      -2.0198777
                      40                      -2.1844003
                      45                      -2.2786348
                      50                       -2.295598
                      55                      -2.2334001
                      60                      -2.0957957
                      65                      -1.8916579
                      70                      -1.6335653
                      75                      -1.3359939
                      80                      -1.0136296
                      85                     -0.68012728
                      90                     -0.34740512
                      95                    -0.025354956
                     100                        0.278062
                     105                      0.55666507
                     110                      0.80577738
                     115                       1.0219644
                     120                       1.2028021
                     125                       1.3466875
                     130                       1.4526908
                     135                       1.5204487
                     140                       1.5500939
                     145                       1.5422186
                     150                       1.4978702
                     155                       1.4185814
                     160                       1.3064355
                     165                       1.1641702
                     170                      0.99532116
                     175                      0.80440253
                     180                      0.59710126

