        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.1013205
                    -175                       2.1013205
                    -170                       2.1013205
                    -165                       2.1013205
                    -160                       2.1013205
                    -155                       2.1013205
                    -150                       2.1013205
                    -145                       2.1013205
                    -140                       2.1013205
                    -135                       2.1013205
                    -130                       2.1013205
                    -125                       2.1013205
                    -120                       2.1013205
                    -115                       2.1013205
                    -110                       2.1013205
                    -105                       2.1013205
                    -100                       2.1013205
                     -95                       2.1013205
                     -90                       2.1013205
                     -85                       2.1013205
                     -80                       2.1013205
                     -75                       2.1013205
                     -70                       2.1013205
                     -65                       2.1013205
                     -60                       2.1013205
                     -55                       2.1013205
                     -50                       2.1013205
                     -45                       2.1013205
                     -40                       2.1013205
                     -35                       2.1013205
                     -30                       2.1013205
                     -25                       2.1013205
                     -20                       2.1013205
                     -15                       2.1013205
                     -10                       2.1013205
                      -5                       2.1013205
                       0                       2.1013205
                       5                       2.1013205
                      10                       2.1013205
                      15                       2.1013205
                      20                       2.1013205
                      25                       2.1013205
                      30                       2.1013205
                      35                       2.1013205
                      40                       2.1013205
                      45                       2.1013205
                      50                       2.1013205
                      55                       2.1013205
                      60                       2.1013205
                      65                       2.1013205
                      70                       2.1013205
                      75                       2.1013205
                      80                       2.1013205
                      85                       2.1013205
                      90                       2.1013205
                      95                       2.1013205
                     100                       2.1013205
                     105                       2.1013205
                     110                       2.1013205
                     115                       2.1013205
                     120                       2.1013205
                     125                       2.1013205
                     130                       2.1013205
                     135                       2.1013205
                     140                       2.1013205
                     145                       2.1013205
                     150                       2.1013205
                     155                       2.1013205
                     160                       2.1013205
                     165                       2.1013205
                     170                       2.1013205
                     175                       2.1013205
                     180                       2.1013205

