        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                        1.100052
                    -175                      0.98074492
                    -170                      0.84008102
                    -165                      0.68010089
                    -160                      0.50349208
                    -155                      0.31373673
                    -150                      0.11526676
                    -145                    -0.086401132
                    -140                     -0.28459498
                    -135                      -0.4715432
                    -130                     -0.63862742
                    -125                     -0.77689276
                    -120                     -0.87782913
                    -115                      -0.9343512
                    -110                      -0.9417998
                    -105                     -0.89871586
                    -100                     -0.80715617
                     -95                     -0.67244447
                     -90                      -0.5024306
                     -85                     -0.30640435
                     -80                    -0.094291038
                     -75                      0.12451397
                     -70                      0.34157428
                     -65                       0.5497652
                     -60                      0.74337505
                     -55                      0.91805717
                     -50                       1.0706967
                     -45                       1.1992395
                     -40                       1.3025149
                     -35                       1.3800683
                     -30                       1.4320143
                     -25                       1.4589114
                     -20                       1.4616609
                     -15                       1.4414273
                     -10                       1.3995801
                      -5                       1.3376561
                       0                       1.2573397
                       5                       1.1604606
                      10                       1.0489955
                      15                      0.92513905
                      20                      0.79130295
                      25                      0.65017961
                      30                      0.50479278
                      35                      0.35854093
                      40                      0.21521987
                      45                     0.079008196
                      50                    -0.045603928
                      55                      -0.1539605
                      60                     -0.24147122
                      65                     -0.30392506
                      70                     -0.33786022
                      75                     -0.34094079
                      80                     -0.31227289
                      85                     -0.25259265
                      90                     -0.16425591
                      95                    -0.051134079
                     100                     0.081772828
                     105                      0.22873073
                     110                      0.38369767
                     115                      0.54070801
                     120                      0.69417366
                     125                      0.83908817
                     130                      0.97113917
                     135                       1.0867453
                     140                       1.1830386
                     145                       1.2578118
                     150                       1.3094482
                     155                       1.3368461
                     160                       1.3393484
                     165                        1.316684
                     170                       1.2689263
                     175                       1.1964739
                     180                        1.100052

