        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.1594936
                    -175                       2.1594936
                    -170                       2.1594936
                    -165                       2.1594936
                    -160                       2.1594936
                    -155                       2.1594936
                    -150                       2.1594936
                    -145                       2.1594936
                    -140                       2.1594936
                    -135                       2.1594936
                    -130                       2.1594936
                    -125                       2.1594936
                    -120                       2.1594936
                    -115                       2.1594936
                    -110                       2.1594936
                    -105                       2.1594936
                    -100                       2.1594936
                     -95                       2.1594936
                     -90                       2.1594936
                     -85                       2.1594936
                     -80                       2.1594936
                     -75                       2.1594936
                     -70                       2.1594936
                     -65                       2.1594936
                     -60                       2.1594936
                     -55                       2.1594936
                     -50                       2.1594936
                     -45                       2.1594936
                     -40                       2.1594936
                     -35                       2.1594936
                     -30                       2.1594936
                     -25                       2.1594936
                     -20                       2.1594936
                     -15                       2.1594936
                     -10                       2.1594936
                      -5                       2.1594936
                       0                       2.1594936
                       5                       2.1594936
                      10                       2.1594936
                      15                       2.1594936
                      20                       2.1594936
                      25                       2.1594936
                      30                       2.1594936
                      35                       2.1594936
                      40                       2.1594936
                      45                       2.1594936
                      50                       2.1594936
                      55                       2.1594936
                      60                       2.1594936
                      65                       2.1594936
                      70                       2.1594936
                      75                       2.1594936
                      80                       2.1594936
                      85                       2.1594936
                      90                       2.1594936
                      95                       2.1594936
                     100                       2.1594936
                     105                       2.1594936
                     110                       2.1594936
                     115                       2.1594936
                     120                       2.1594936
                     125                       2.1594936
                     130                       2.1594936
                     135                       2.1594936
                     140                       2.1594936
                     145                       2.1594936
                     150                       2.1594936
                     155                       2.1594936
                     160                       2.1594936
                     165                       2.1594936
                     170                       2.1594936
                     175                       2.1594936
                     180                       2.1594936

