        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.0553656
                    -175                       2.0553656
                    -170                       2.0553656
                    -165                       2.0553656
                    -160                       2.0553656
                    -155                       2.0553656
                    -150                       2.0553656
                    -145                       2.0553656
                    -140                       2.0553656
                    -135                       2.0553656
                    -130                       2.0553656
                    -125                       2.0553656
                    -120                       2.0553656
                    -115                       2.0553656
                    -110                       2.0553656
                    -105                       2.0553656
                    -100                       2.0553656
                     -95                       2.0553656
                     -90                       2.0553656
                     -85                       2.0553656
                     -80                       2.0553656
                     -75                       2.0553656
                     -70                       2.0553656
                     -65                       2.0553656
                     -60                       2.0553656
                     -55                       2.0553656
                     -50                       2.0553656
                     -45                       2.0553656
                     -40                       2.0553656
                     -35                       2.0553656
                     -30                       2.0553656
                     -25                       2.0553656
                     -20                       2.0553656
                     -15                       2.0553656
                     -10                       2.0553656
                      -5                       2.0553656
                       0                       2.0553656
                       5                       2.0553656
                      10                       2.0553656
                      15                       2.0553656
                      20                       2.0553656
                      25                       2.0553656
                      30                       2.0553656
                      35                       2.0553656
                      40                       2.0553656
                      45                       2.0553656
                      50                       2.0553656
                      55                       2.0553656
                      60                       2.0553656
                      65                       2.0553656
                      70                       2.0553656
                      75                       2.0553656
                      80                       2.0553656
                      85                       2.0553656
                      90                       2.0553656
                      95                       2.0553656
                     100                       2.0553656
                     105                       2.0553656
                     110                       2.0553656
                     115                       2.0553656
                     120                       2.0553656
                     125                       2.0553656
                     130                       2.0553656
                     135                       2.0553656
                     140                       2.0553656
                     145                       2.0553656
                     150                       2.0553656
                     155                       2.0553656
                     160                       2.0553656
                     165                       2.0553656
                     170                       2.0553656
                     175                       2.0553656
                     180                       2.0553656

