        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                      -1.0645986
                    -175                      -1.1910442
                    -170                      -1.2578187
                    -165                      -1.2589684
                    -160                      -1.1929355
                    -155                      -1.0629056
                    -150                     -0.87635145
                    -145                     -0.64392986
                    -140                     -0.37808242
                    -135                    -0.091703869
                    -130                      0.20288043
                    -125                       0.4945508
                    -120                      0.77368719
                    -115                       1.0322189
                    -110                       1.2635314
                    -105                       1.4623095
                    -100                       1.6243685
                     -95                       1.7465015
                     -90                        1.826358
                     -85                       1.8623215
                     -80                       1.8536019
                     -75                       1.7999996
                     -70                       1.7020631
                     -65                       1.5611012
                     -60                       1.3792619
                     -55                       1.1596437
                     -50                      0.90643666
                     -45                      0.62508621
                     -40                      0.32246011
                     -35                    0.0069848253
                     -30                     -0.31130681
                     -25                     -0.62089832
                     -20                     -0.90917774
                     -15                      -1.1631685
                     -10                      -1.3706097
                      -5                      -1.5212643
                       0                        -1.60819
                       5                      -1.6286273
                      10                      -1.5842436
                      15                      -1.4805856
                      20                      -1.3260754
                      25                      -1.1307226
                      30                     -0.90495219
                      35                     -0.65872975
                      40                     -0.40103946
                      45                     -0.13966592
                      50                      0.11881202
                      55                      0.36890681
                      60                      0.60605751
                      65                      0.82646013
                      70                       1.0269172
                      75                       1.2047171
                      80                       1.3575444
                      85                        1.483419
                      90                       1.5807509
                      95                        1.647966
                     100                       1.6840369
                     105                       1.6881437
                     110                       1.6597875
                     115                       1.5988277
                     120                       1.5055307
                     125                       1.3806334
                     130                       1.2254233
                     135                       1.0418393
                     140                      0.83259631
                     145                      0.60133515
                     150                      0.35279395
                     155                     0.092987804
                     160                     -0.17063327
                     165                     -0.42910174
                     170                     -0.67200644
                     175                     -0.88782442
                     180                      -1.0645986

