        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                      0.13838263
                    -175                     0.006109657
                    -170                    -0.076366631
                    -165                     -0.10249742
                    -160                    -0.069907044
                    -155                     0.019358206
                    -150                      0.15930757
                    -145                      0.34104398
                    -140                      0.55404146
                    -135                      0.78733962
                    -130                       1.0304492
                    -125                       1.2739067
                    -120                       1.5095221
                    -115                       1.7304084
                    -110                       1.9308861
                    -105                       2.1063337
                    -100                       2.2530313
                     -95                       2.3680221
                     -90                       2.4490034
                     -85                       2.4942533
                     -80                       2.5025713
                     -75                       2.4732499
                     -70                       2.4060722
                     -65                       2.3013056
                     -60                       2.1597062
                     -55                       1.9825258
                     -50                       1.7715169
                     -45                       1.5289365
                     -40                       1.2575444
                     -35                      0.96059947
                     -30                      0.64185359
                     -25                      0.30554715
                     -20                    -0.043589688
                     -15                     -0.40032385
                     -10                     -0.75888865
                      -5                      -1.1129315
                       0                      -1.4554419
                       5                      -1.7786879
                      10                      -2.0741296
                      15                       -2.332482
                      20                      -2.5439231
                      25                      -2.6985601
                      30                      -2.7872274
                      35                      -2.8025824
                      40                      -2.7403269
                      45                      -2.6002478
                      50                      -2.3867349
                      55                      -2.1085637
                      60                      -1.7779798
                      65                      -1.4093494
                      70                      -1.0177406
                      75                     -0.61772601
                      80                     -0.22255659
                      85                      0.15628924
                      90                      0.50925849
                      95                      0.82866804
                     100                       1.1085862
                     105                       1.3446149
                     110                       1.5337137
                     115                       1.6740398
                     120                       1.7648248
                     125                       1.8062942
                     130                       1.7996302
                     135                       1.7469796
                     140                       1.6515042
                     145                       1.5174721
                     150                       1.3503809
                     155                       1.1570932
                     160                      0.94595198
                     165                      0.72681665
                     170                      0.51094156
                     175                      0.31060082
                     180                      0.13838263

