        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                     0.071851726
                    -175                      0.20322842
                    -170                      0.33414635
                    -165                      0.45950716
                    -160                      0.57468649
                    -155                      0.67558569
                    -150                      0.75865055
                    -145                      0.82087237
                    -140                      0.85978347
                    -135                      0.87345674
                    -130                       0.8605159
                    -125                      0.82016172
                    -120                      0.75221729
                    -115                      0.65719475
                    -110                      0.53638355
                    -105                      0.39195796
                    -100                       0.2270967
                     -95                     0.046100575
                     -90                     -0.14551656
                     -85                     -0.34099801
                     -80                     -0.53242708
                     -75                     -0.71101088
                     -70                     -0.86751834
                     -65                     -0.99298486
                     -60                       -1.079568
                     -55                       -1.121428
                     -50                      -1.1154378
                     -45                       -1.061538
                     -40                     -0.96263651
                     -35                      -0.8240907
                     -30                     -0.65292281
                     -25                     -0.45696927
                     -20                     -0.24413351
                     -15                    -0.021838632
                     -10                      0.20329969
                      -5                      0.42561124
                       0                      0.64037384
                       5                      0.84369791
                      10                         1.03254
                      15                        1.204401
                      20                       1.3573134
                      25                       1.4897204
                      30                        1.600399
                      35                        1.688405
                      40                       1.7530371
                      45                       1.7938178
                      50                       1.8104892
                      55                       1.8030199
                      60                       1.7716233
                      65                       1.7167829
                      70                       1.6392859
                      75                       1.5402629
                      80                       1.4212316
                      85                       1.2841448
                      90                       1.1314257
                      95                      0.96607087
                     100                      0.79156755
                     105                      0.61199155
                     110                      0.43195271
                     115                      0.25651589
                     120                     0.091056123
                     125                    -0.058961988
                     130                      -0.1882795
                     135                     -0.29219543
                     140                     -0.36693896
                     145                     -0.41000794
                     150                     -0.42041521
                     155                     -0.39879497
                     160                     -0.34734802
                     165                     -0.26963828
                     170                     -0.17028248
                     175                    -0.054589965
                     180                     0.071851726

