        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                      -0.3957054
                    -175                     -0.47313536
                    -170                     -0.48591844
                    -165                     -0.43242467
                    -160                     -0.31597389
                    -155                     -0.14421129
                    -150                     0.072133059
                    -145                       0.3207104
                    -140                      0.58887827
                    -135                      0.86466915
                    -130                       1.1373575
                    -125                       1.3976923
                    -120                       1.6379034
                    -115                       1.8515848
                    -110                       2.0335299
                    -105                       2.1795637
                    -100                       2.2863989
                     -95                        2.351522
                     -90                       2.3731128
                     -85                       2.3500243
                     -80                       2.2816469
                     -75                       2.1680524
                     -70                       2.0099153
                     -65                       1.8085616
                     -60                       1.5660078
                     -55                       1.2850114
                     -50                      0.96913079
                     -45                      0.62279317
                     -40                      0.25136728
                     -35                     -0.13876454
                     -30                     -0.54014524
                     -25                     -0.94420923
                     -20                      -1.3413017
                     -15                      -1.7207858
                     -10                      -2.0712817
                      -5                       -2.381078
                       0                      -2.6387425
                       5                      -2.8339739
                      10                      -2.9582776
                      15                       -3.006154
                      20                      -2.9755378
                      25                      -2.8681227
                      30                      -2.6891869
                      35                      -2.4470179
                      40                      -2.1520757
                      45                      -1.8160784
                      50                      -1.4511626
                      55                      -1.0692147
                      60                     -0.68140189
                      65                     -0.29788667
                      70                     0.072313831
                      75                      0.42136762
                      80                      0.74260476
                      85                       1.0304604
                      90                       1.2804346
                      95                       1.4889115
                     100                       1.6532478
                     105                       1.7716268
                     110                       1.8430484
                     115                       1.8673137
                     120                       1.8450333
                     125                       1.7776608
                     130                       1.6675557
                     135                       1.5180778
                     140                       1.3337148
                     145                       1.1202361
                     150                      0.88485649
                     155                       0.6363755
                     160                      0.38522913
                     165                      0.14336503
                     170                    -0.076169516
                     175                     -0.26002087
                     180                      -0.3957054

