        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                     -0.36584171
                    -175                     -0.52214792
                    -170                     -0.61781253
                    -165                      -0.6454489
                    -160                     -0.60254711
                    -155                     -0.49187096
                    -150                     -0.32093193
                    -145                     -0.10073269
                    -140                      0.15580472
                    -135                      0.43530448
                    -130                       0.7250325
                    -125                       1.0135512
                    -120                       1.2909987
                    -115                        1.549111
                    -110                       1.7811015
                    -105                       1.9814841
                    -100                       2.1458916
                     -95                       2.2709156
                     -90                       2.3539809
                     -85                       2.3932073
                     -80                       2.3875138
                     -75                       2.3363502
                     -70                       2.2398254
                     -65                       2.0986749
                     -60                       1.9142752
                     -55                       1.6886714
                     -50                       1.4246155
                     -45                       1.1256157
                     -40                      0.79599711
                     -35                      0.44097265
                     -30                     0.066721076
                     -25                     -0.31953401
                     -20                     -0.70945868
                     -15                      -1.0935814
                     -10                       -1.461343
                      -5                      -1.8012772
                       0                      -2.1013842
                       5                      -2.3497929
                      10                      -2.5354507
                      15                      -2.6494098
                      20                      -2.6857226
                      25                      -2.6422904
                      30                      -2.5212171
                      35                      -2.3285918
                      40                      -2.0737598
                      45                      -1.7682809
                      50                      -1.4248261
                      55                      -1.0562141
                      60                     -0.67469618
                      65                     -0.29150428
                      70                     0.083377948
                      75                      0.44128559
                      80                      0.77484439
                      85                       1.0778915
                      90                       1.3453993
                      95                       1.5732813
                     100                        1.758453
                     105                        1.898654
                     110                       1.9924196
                     115                       2.0390444
                     120                       2.0385667
                     125                       1.9917752
                     130                       1.9002416
                     135                       1.7663831
                     140                       1.5935575
                     145                       1.3861946
                     150                       1.1499588
                     155                      0.89193196
                     160                      0.62078393
                     165                      0.34687307
                     170                      0.08218655
                     175                     -0.15999821
                     180                     -0.36584171

