        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.3046922
                    -175                       2.3046922
                    -170                       2.3046922
                    -165                       2.3046922
                    -160                       2.3046922
                    -155                       2.3046922
                    -150                       2.3046922
                    -145                       2.3046922
                    -140                       2.3046922
                    -135                       2.3046922
                    -130                       2.3046922
                    -125                       2.3046922
                    -120                       2.3046922
                    -115                       2.3046922
                    -110                       2.3046922
                    -105                       2.3046922
                    -100                       2.3046922
                     -95                       2.3046922
                     -90                       2.3046922
                     -85                       2.3046922
                     -80                       2.3046922
                     -75                       2.3046922
                     -70                       2.3046922
                     -65                       2.3046922
                     -60                       2.3046922
                     -55                       2.3046922
                     -50                       2.3046922
                     -45                       2.3046922
                     -40                       2.3046922
                     -35                       2.3046922
                     -30                       2.3046922
                     -25                       2.3046922
                     -20                       2.3046922
                     -15                       2.3046922
                     -10                       2.3046922
                      -5                       2.3046922
                       0                       2.3046922
                       5                       2.3046922
                      10                       2.3046922
                      15                       2.3046922
                      20                       2.3046922
                      25                       2.3046922
                      30                       2.3046922
                      35                       2.3046922
                      40                       2.3046922
                      45                       2.3046922
                      50                       2.3046922
                      55                       2.3046922
                      60                       2.3046922
                      65                       2.3046922
                      70                       2.3046922
                      75                       2.3046922
                      80                       2.3046922
                      85                       2.3046922
                      90                       2.3046922
                      95                       2.3046922
                     100                       2.3046922
                     105                       2.3046922
                     110                       2.3046922
                     115                       2.3046922
                     120                       2.3046922
                     125                       2.3046922
                     130                       2.3046922
                     135                       2.3046922
                     140                       2.3046922
                     145                       2.3046922
                     150                       2.3046922
                     155                       2.3046922
                     160                       2.3046922
                     165                       2.3046922
                     170                       2.3046922
                     175                       2.3046922
                     180                       2.3046922

