        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                     -0.22931681
                    -175                     -0.47514306
                    -170                     -0.69777293
                    -165                     -0.88268149
                    -160                      -1.0155755
                    -155                      -1.0842511
                    -150                      -1.0806141
                    -145                      -1.0022551
                    -140                     -0.85299854
                    -135                     -0.64219808
                    -130                     -0.38305862
                    -125                    -0.090589055
                    -120                      0.22022472
                    -115                       0.5356929
                    -110                      0.84409098
                    -105                       1.1358513
                    -100                       1.4034546
                     -95                       1.6411754
                     -90                        1.844785
                     -85                       2.0112771
                     -80                       2.1386081
                     -75                       2.2255332
                     -70                       2.2714512
                     -65                       2.2763028
                     -60                       2.2405004
                     -55                       2.1648847
                     -50                       2.0507025
                     -45                       1.8996034
                     -40                       1.7136522
                     -35                       1.4953583
                     -30                       1.2477198
                     -25                      0.97428633
                     -20                      0.67923763
                     -15                      0.36747939
                     -10                     0.044748801
                      -5                     -0.28228251
                       0                     -0.60593296
                       5                     -0.91744326
                      10                      -1.2073297
                      15                      -1.4653299
                      20                      -1.6811882
                      25                      -1.8453917
                      30                      -1.9501469
                      35                      -1.9903652
                      40                      -1.9644208
                      45                        -1.87446
                      50                      -1.7261586
                      55                      -1.5279968
                      60                      -1.2902539
                      65                      -1.0239701
                      70                     -0.74006828
                      75                     -0.44873269
                      80                     -0.15905069
                      85                      0.12113133
                      90                      0.38524173
                      95                      0.62774903
                     100                      0.84424958
                     105                       1.0311931
                     110                       1.1857922
                     115                       1.3059175
                     120                        1.390014
                     125                       1.4370421
                     130                        1.446443
                     135                       1.4181283
                     140                       1.3524983
                     145                       1.2504915
                     150                       1.1136705
                     155                       0.9443527
                     160                      0.74578931
                     165                      0.52239679
                     170                      0.28003087
                     175                      0.02627535
                     180                     -0.22931681

