        Phi / deg                Directivity,Theta=45.0/
----------------------------------------------------------------------
                    -180                        1.003256
                    -175                      0.92018846
                    -170                      0.81697823
                    -165                      0.69480396
                    -160                      0.55528123
                    -155                      0.40056481
                    -150                      0.23347185
                    -145                     0.057614094
                    -140                     -0.12248164
                    -135                     -0.30129824
                    -130                     -0.47234479
                    -125                     -0.62832057
                    -120                     -0.76147773
                    -115                     -0.86420621
                    -110                     -0.92980613
                    -105                     -0.95333475
                    -100                     -0.93234649
                     -95                     -0.86732971
                     -90                     -0.76170748
                     -85                     -0.62132622
                     -80                     -0.45392845
                     -75                     -0.26798444
                     -70                    -0.072013615
                     -65                      0.12607584
                     -60                      0.31939407
                     -55                      0.50226541
                     -50                      0.67026198
                     -45                      0.82013066
                     -40                      0.94966103
                     -35                       1.0575291
                     -30                       1.1431391
                     -25                       1.2064766
                     -20                       1.2479784
                     -15                       1.2684234
                     -10                       1.2688423
                      -5                        1.250448
                       0                        1.214584
                       5                       1.1626813
                      10                       1.0962617
                      15                       1.0169285
                      20                      0.92637184
                      25                      0.82640233
                      30                       0.7189919
                      35                      0.60632253
                      40                      0.49083744
                      45                      0.37528515
                      50                      0.26274342
                      55                      0.15660704
                      60                     0.060521928
                      65                    -0.021749011
                      70                    -0.086534741
                      75                     -0.13053144
                      80                     -0.15111681
                      85                     -0.14665724
                      90                     -0.11674729
                      95                    -0.062319278
                     100                     0.014305097
                     105                      0.10966501
                     110                      0.21941682
                     115                      0.33868152
                     120                      0.46239698
                     125                      0.58562754
                     130                      0.70380229
                     135                      0.81287244
                     140                      0.90939318
                     145                      0.99054414
                     150                       1.0541057
                     155                       1.0984084
                     160                       1.1222688
                     165                        1.124925
                     170                       1.1059786
                     175                       1.0653511
                     180                        1.003256

