        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                      0.48846002
                    -175                      0.32340477
                    -170                      0.15208869
                    -165                    -0.018807525
                    -160                     -0.18181004
                    -155                     -0.32884672
                    -150                     -0.45161402
                    -145                     -0.54213328
                    -140                      -0.5934638
                    -135                     -0.60047483
                    -130                     -0.56052107
                    -125                      -0.4738526
                    -120                     -0.34364136
                    -115                     -0.17560972
                    -110                     0.022642345
                    -105                      0.24244751
                    -100                      0.47485323
                     -95                      0.71125898
                     -90                      0.94385878
                     -85                       1.1659073
                     -80                       1.3718032
                     -75                       1.5570568
                     -70                       1.7182692
                     -65                       1.8530066
                     -60                       1.9596833
                     -55                        2.037445
                     -50                        2.086057
                     -45                       2.1058011
                     -40                       2.0973814
                     -35                       2.0618375
                     -30                       2.0004666
                     -25                       1.9147538
                     -20                       1.8063129
                     -15                       1.6768387
                     -10                       1.5280761
                      -5                       1.3618068
                       0                       1.1798605
                       5                      0.98417845
                      10                       0.7767778
                      15                      0.56002696
                      20                       0.3366601
                      25                      0.10997364
                      30                     -0.11599873
                      35                     -0.33632801
                      40                     -0.54509353
                      45                     -0.73541039
                      50                     -0.89965238
                      55                      -1.0299307
                      60                      -1.1188427
                      65                      -1.1604197
                      70                       -1.151098
                      75                      -1.0904686
                      80                      -0.9815767
                      85                     -0.83066597
                      90                     -0.64637183
                      95                     -0.43892865
                     100                     -0.21887185
                     105                    0.0036931223
                     110                      0.21970493
                     115                      0.42147031
                     120                       0.6027716
                     125                      0.75882821
                     130                      0.88617616
                     135                      0.98251399
                     140                       1.0465467
                     145                       1.0778461
                     150                       1.0767377
                     155                       1.0442175
                     160                      0.98190186
                     165                      0.89200868
                     170                      0.77736955
                     175                       0.6414693
                     180                      0.48846002

