        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                      -1.0270909
                    -175                      -1.1841621
                    -170                      -1.2787234
                    -165                      -1.3014417
                    -160                      -1.2482241
                    -155                      -1.1210806
                    -150                     -0.92778999
                    -145                     -0.68050193
                    -140                     -0.39379357
                    -135                    -0.082782126
                    -130                       0.2382997
                    -125                      0.55694007
                    -120                      0.86267635
                    -115                         1.14708
                    -110                       1.4035568
                    -105                       1.6270791
                    -100                       1.8139184
                     -95                       1.9614141
                     -90                       2.0677897
                     -85                       2.1319904
                     -80                       2.1537072
                     -75                       2.1331342
                     -70                       2.0710776
                     -65                       1.9689243
                     -60                       1.8286675
                     -55                       1.6529522
                     -50                       1.4451344
                     -45                       1.2093518
                     -40                      0.95059436
                     -35                      0.67476371
                     -30                      0.38869952
                     -25                      0.10014711
                     -20                     -0.18236782
                     -15                     -0.44978998
                     -10                     -0.69293298
                      -5                     -0.90302112
                       0                      -1.0723288
                       5                      -1.1948287
                      10                       -1.266731
                      15                      -1.2867495
                      20                      -1.2561451
                      25                      -1.1784269
                      30                       -1.058859
                      35                     -0.90387592
                      40                     -0.72052012
                      45                      -0.5159775
                      50                      -0.2972441
                      55                    -0.070919027
                      60                       0.1569017
                      65                      0.38066176
                      70                      0.59534013
                      75                      0.79642699
                      80                      0.97989388
                      85                       1.1421655
                      90                       1.2801925
                      95                       1.3910667
                     100                       1.4725524
                     105                       1.5227315
                     110                       1.5400967
                     115                       1.5235682
                     120                       1.4725212
                     125                       1.3868298
                     130                       1.2669315
                     135                       1.1139188
                     140                      0.92966523
                     145                      0.71699287
                     150                      0.47988415
                     155                       0.2237345
                     160                    -0.044376471
                     165                      -0.3154453
                     170                     -0.57842919
                     175                     -0.82039517
                     180                      -1.0270909

