        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.1610872
                    -175                       2.1610872
                    -170                       2.1610872
                    -165                       2.1610872
                    -160                       2.1610872
                    -155                       2.1610872
                    -150                       2.1610872
                    -145                       2.1610872
                    -140                       2.1610872
                    -135                       2.1610872
                    -130                       2.1610872
                    -125                       2.1610872
                    -120                       2.1610872
                    -115                       2.1610872
                    -110                       2.1610872
                    -105                       2.1610872
                    -100                       2.1610872
                     -95                       2.1610872
                     -90                       2.1610872
                     -85                       2.1610872
                     -80                       2.1610872
                     -75                       2.1610872
                     -70                       2.1610872
                     -65                       2.1610872
                     -60                       2.1610872
                     -55                       2.1610872
                     -50                       2.1610872
                     -45                       2.1610872
                     -40                       2.1610872
                     -35                       2.1610872
                     -30                       2.1610872
                     -25                       2.1610872
                     -20                       2.1610872
                     -15                       2.1610872
                     -10                       2.1610872
                      -5                       2.1610872
                       0                       2.1610872
                       5                       2.1610872
                      10                       2.1610872
                      15                       2.1610872
                      20                       2.1610872
                      25                       2.1610872
                      30                       2.1610872
                      35                       2.1610872
                      40                       2.1610872
                      45                       2.1610872
                      50                       2.1610872
                      55                       2.1610872
                      60                       2.1610872
                      65                       2.1610872
                      70                       2.1610872
                      75                       2.1610872
                      80                       2.1610872
                      85                       2.1610872
                      90                       2.1610872
                      95                       2.1610872
                     100                       2.1610872
                     105                       2.1610872
                     110                       2.1610872
                     115                       2.1610872
                     120                       2.1610872
                     125                       2.1610872
                     130                       2.1610872
                     135                       2.1610872
                     140                       2.1610872
                     145                       2.1610872
                     150                       2.1610872
                     155                       2.1610872
                     160                       2.1610872
                     165                       2.1610872
                     170                       2.1610872
                     175                       2.1610872
                     180                       2.1610872

