        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.1078119
                    -175                       2.1078119
                    -170                       2.1078119
                    -165                       2.1078119
                    -160                       2.1078119
                    -155                       2.1078119
                    -150                       2.1078119
                    -145                       2.1078119
                    -140                       2.1078119
                    -135                       2.1078119
                    -130                       2.1078119
                    -125                       2.1078119
                    -120                       2.1078119
                    -115                       2.1078119
                    -110                       2.1078119
                    -105                       2.1078119
                    -100                       2.1078119
                     -95                       2.1078119
                     -90                       2.1078119
                     -85                       2.1078119
                     -80                       2.1078119
                     -75                       2.1078119
                     -70                       2.1078119
                     -65                       2.1078119
                     -60                       2.1078119
                     -55                       2.1078119
                     -50                       2.1078119
                     -45                       2.1078119
                     -40                       2.1078119
                     -35                       2.1078119
                     -30                       2.1078119
                     -25                       2.1078119
                     -20                       2.1078119
                     -15                       2.1078119
                     -10                       2.1078119
                      -5                       2.1078119
                       0                       2.1078119
                       5                       2.1078119
                      10                       2.1078119
                      15                       2.1078119
                      20                       2.1078119
                      25                       2.1078119
                      30                       2.1078119
                      35                       2.1078119
                      40                       2.1078119
                      45                       2.1078119
                      50                       2.1078119
                      55                       2.1078119
                      60                       2.1078119
                      65                       2.1078119
                      70                       2.1078119
                      75                       2.1078119
                      80                       2.1078119
                      85                       2.1078119
                      90                       2.1078119
                      95                       2.1078119
                     100                       2.1078119
                     105                       2.1078119
                     110                       2.1078119
                     115                       2.1078119
                     120                       2.1078119
                     125                       2.1078119
                     130                       2.1078119
                     135                       2.1078119
                     140                       2.1078119
                     145                       2.1078119
                     150                       2.1078119
                     155                       2.1078119
                     160                       2.1078119
                     165                       2.1078119
                     170                       2.1078119
                     175                       2.1078119
                     180                       2.1078119

