        Phi / deg                Directivity,Theta=0.0/
----------------------------------------------------------------------
                    -180                       2.1682674
                    -175                       2.1682674
                    -170                       2.1682674
                    -165                       2.1682674
                    -160                       2.1682674
                    -155                       2.1682674
                    -150                       2.1682674
                    -145                       2.1682674
                    -140                       2.1682674
                    -135                       2.1682674
                    -130                       2.1682674
                    -125                       2.1682674
                    -120                       2.1682674
                    -115                       2.1682674
                    -110                       2.1682674
                    -105                       2.1682674
                    -100                       2.1682674
                     -95                       2.1682674
                     -90                       2.1682674
                     -85                       2.1682674
                     -80                       2.1682674
                     -75                       2.1682674
                     -70                       2.1682674
                     -65                       2.1682674
                     -60                       2.1682674
                     -55                       2.1682674
                     -50                       2.1682674
                     -45                       2.1682674
                     -40                       2.1682674
                     -35                       2.1682674
                     -30                       2.1682674
                     -25                       2.1682674
                     -20                       2.1682674
                     -15                       2.1682674
                     -10                       2.1682674
                      -5                       2.1682674
                       0                       2.1682674
                       5                       2.1682674
                      10                       2.1682674
                      15                       2.1682674
                      20                       2.1682674
                      25                       2.1682674
                      30                       2.1682674
                      35                       2.1682674
                      40                       2.1682674
                      45                       2.1682674
                      50                       2.1682674
                      55                       2.1682674
                      60                       2.1682674
                      65                       2.1682674
                      70                       2.1682674
                      75                       2.1682674
                      80                       2.1682674
                      85                       2.1682674
                      90                       2.1682674
                      95                       2.1682674
                     100                       2.1682674
                     105                       2.1682674
                     110                       2.1682674
                     115                       2.1682674
                     120                       2.1682674
                     125                       2.1682674
                     130                       2.1682674
                     135                       2.1682674
                     140                       2.1682674
                     145                       2.1682674
                     150                       2.1682674
                     155                       2.1682674
                     160                       2.1682674
                     165                       2.1682674
                     170                       2.1682674
                     175                       2.1682674
                     180                       2.1682674

