        Phi / deg                Directivity,Theta=90.0/
----------------------------------------------------------------------
                    -180                      -7.8398345
                    -175                      -10.548599
                    -170                      -14.597892
                    -165                      -22.505131
                    -160                      -27.501608
                    -155                       -16.29974
                    -150                      -11.529887
                    -145                      -8.4929546
                    -140                      -6.2808693
                    -135                      -4.5585904
                    -130                      -3.1659933
                    -125                      -2.0148169
                    -120                      -1.0518983
                    -115                      -0.2433004
                    -110                      0.43349231
                    -105                       0.9937977
                    -100                       1.4481999
                     -95                       1.8040764
                     -90                       2.0665915
                     -85                       2.2393964
                     -80                       2.3249999
                     -75                       2.3252286
                     -70                       2.2413869
                     -65                       2.0744329
                     -60                       1.8250785
                     -55                       1.4938369
                     -50                       1.0810196
                     -45                      0.58667762
                     -40                     0.010481784
                     -35                      -0.6484724
                     -30                      -1.3919538
                     -25                      -2.2230033
                     -20                       -3.146487
                     -15                      -4.1698133
                     -10                      -5.3037766
                      -5                      -6.5632985
                       0                      -7.9671823
                       5                       -9.533818
                      10                      -11.262961
                      15                      -13.073299
                      20                      -14.642244
                      25                      -15.278737
                      30                      -14.529741
                      35                      -12.892932
                      40                      -11.047209
                      45                       -9.298197
                      50                      -7.7213721
                      55                      -6.3163281
                      60                      -5.0653187
                      65                       -3.950305
                      70                      -2.9568854
                      75                      -2.0744961
                      80                      -1.2957129
                      85                     -0.61547242
                      90                    -0.030391561
                      95                      0.46159803
                     100                      0.86178126
                     105                       1.1707696
                     110                       1.3886675
                     115                       1.5151285
                     120                       1.5493389
                     125                         1.48993
                     130                       1.3348104
                     135                        1.080902
                     140                      0.72374668
                     145                      0.25692739
                     150                     -0.32879475
                     155                      -1.0468027
                     160                       -1.916736
                     165                      -2.9680507
                     170                      -4.2464465
                     175                      -5.8265305
                     180                      -7.8398345

