        Phi / deg                Directivity,Theta=135.0/
----------------------------------------------------------------------
                    -180                     -0.85775494
                    -175                     -0.95256172
                    -170                     -0.98009552
                    -165                     -0.93668703
                    -160                     -0.82402173
                    -155                     -0.64885225
                    -150                     -0.42185722
                    -145                     -0.15604335
                    -140                      0.13484302
                    -135                      0.43756288
                    -130                      0.74016782
                    -125                        1.032362
                    -120                       1.3055625
                    -115                       1.5527847
                    -110                       1.7684515
                    -105                       1.9481888
                    -100                       2.0886422
                     -95                       2.1873288
                     -90                        2.242528
                     -85                       2.2532123
                     -80                       2.2190073
                     -75                       2.1401601
                     -70                       2.0175737
                     -65                       1.8528355
                     -60                       1.6482724
                     -55                       1.4070258
                     -50                       1.1331427
                     -45                       0.8316763
                     -40                      0.50878718
                     -35                      0.17182299
                     -30                      -0.1706524
                     -25                     -0.50892439
                     -20                     -0.83233977
                     -15                       -1.129715
                     -10                      -1.3899648
                      -5                      -1.6029238
                       0                      -1.7602568
                       5                      -1.8562886
                      10                       -1.888567
                      15                      -1.8579681
                      20                      -1.7684259
                      25                      -1.6262749
                      30                      -1.4394426
                      35                      -1.2166596
                      40                     -0.96681495
                      45                     -0.69850631
                      50                     -0.41977461
                      55                     -0.13798186
                      60                      0.14021838
                      65                      0.40885994
                      70                      0.66262273
                      75                      0.89678866
                      80                        1.107204
                      85                       1.2902509
                      90                       1.4428841
                      95                       1.5623971
                     100                       1.6467657
                     105                       1.6944168
                     110                       1.7043067
                     115                       1.6759487
                     120                       1.6094547
                     125                        1.505595
                     130                        1.365882
                     135                       1.1926821
                     140                      0.98936064
                     145                       0.7604592
                     150                      0.51189799
                     155                      0.25117802
                     160                    -0.012466142
                     165                     -0.26804618
                     170                     -0.50304956
                     175                     -0.70404681
                     180                     -0.85775494

