        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       1.7912638
                    -175                       1.8736877
                    -170                       1.9230267
                    -165                       1.9403419
                    -160                       1.9271161
                    -155                       1.8852641
                    -150                       1.8171511
                    -145                       1.7256168
                    -140                       1.6140013
                    -135                       1.4861663
                    -130                       1.3465025
                    -125                       1.1999132
                    -120                       1.0517579
                    -115                      0.90774085
                    -110                       0.7737298
                    -105                      0.65549903
                    -100                      0.55840204
                     -95                      0.48699996
                     -90                      0.44469046
                     -85                      0.43339727
                     -80                      0.45337341
                     -75                      0.50316546
                     -70                      0.57974565
                     -65                      0.67878173
                     -60                      0.79499648
                     -55                      0.92255517
                     -50                       1.0554272
                     -45                       1.1876861
                     -40                       1.3137332
                     -35                        1.428444
                     -30                       1.5272511
                     -25                        1.606177
                     -20                       1.6618346
                     -15                       1.6914074
                     -10                       1.6926201
                      -5                       1.6637084
                       0                       1.6033917
                       5                       1.5108926
                      10                       1.3857758
                      15                       1.2281813
                      20                       1.0386972
                      25                      0.81844468
                      30                      0.56915225
                      35                       0.2932652
                      40                   -0.0059054574
                      45                     -0.32399133
                      50                     -0.65533716
                      55                     -0.99275338
                      60                      -1.3272959
                      65                      -1.6481559
                      70                      -1.9427826
                      75                       -2.197392
                      80                      -2.3979822
                      85                      -2.5318582
                      90                      -2.5894414
                      95                      -2.5659185
                     100                      -2.4621654
                     105                      -2.2846128
                     110                      -2.0440979
                     115                       -1.754123
                     120                      -1.4290661
                     125                      -1.0827551
                     130                     -0.72756861
                     135                     -0.37402656
                     140                    -0.030732699
                     145                      0.29547876
                     150                      0.59930724
                     155                      0.87673385
                     160                       1.1247923
                     165                       1.3413783
                     170                       1.5251001
                     175                       1.6751675
                     180                       1.7912638

