        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       1.9251267
                    -175                       2.0022568
                    -170                       2.0527138
                    -165                       2.0772753
                    -160                        2.077152
                    -155                       2.0539754
                    -150                       2.0097901
                    -145                       1.9470439
                    -140                       1.8685762
                    -135                       1.7775975
                    -130                       1.6776567
                    -125                       1.5725899
                    -120                        1.466444
                    -115                       1.3633709
                    -110                       1.2674895
                    -105                       1.1827165
                    -100                       1.1125741
                     -95                       1.0599896
                     -90                       1.0271069
                     -85                       1.0151353
                     -80                       1.0242503
                     -75                       1.0535777
                     -70                       1.1012483
                     -65                       1.1645239
                     -60                       1.2399752
                     -55                        1.323687
                     -50                       1.4114682
                     -45                       1.4990462
                     -40                       1.5822334
                     -35                       1.6570601
                     -30                       1.7198724
                     -25                       1.7674005
                     -20                       1.7968018
                     -15                       1.8056861
                     -10                       1.7921281
                      -5                       1.7546726
                       0                       1.6923379
                       5                       1.6046549
                      10                       1.4915347
                      15                       1.3534884
                      20                       1.1915142
                      25                       1.0071637
                      30                      0.80258679
                      35                      0.58058695
                      40                      0.34468672
                      45                     0.099195576
                      50                     -0.15073101
                      55                     -0.39906092
                      60                     -0.63891192
                      65                     -0.86267186
                      70                       -1.062251
                      75                      -1.2294943
                      80                      -1.3567537
                      85                       -1.437571
                      90                      -1.4673661
                      95                      -1.4440113
                     100                      -1.3681054
                     105                      -1.2429292
                     110                      -1.0740561
                     115                     -0.86872925
                     120                     -0.63514811
                     125                     -0.38179732
                     130                     -0.11690782
                     135                      0.15191574
                     140                      0.41790982
                     145                      0.67524168
                     150                      0.91901313
                     155                       1.1452133
                     160                       1.3506474
                     165                       1.5328584
                     170                       1.6900533
                     175                       1.8210386
                     180                       1.9251267

