        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       1.9737721
                    -175                       1.9713503
                    -170                       1.8862301
                    -165                        1.717898
                    -160                       1.4657578
                    -155                       1.1290451
                    -150                      0.70672103
                    -145                       0.1973566
                    -140                      -0.4009564
                    -135                      -1.0905973
                    -130                      -1.8741506
                    -125                      -2.7535371
                    -120                      -3.7277986
                    -115                      -4.7879993
                    -110                      -5.9063771
                    -105                      -7.0159909
                    -100                      -7.9828385
                     -95                      -8.6003643
                     -90                      -8.6733143
                     -85                      -8.1731911
                     -80                      -7.2659159
                     -75                      -6.1678114
                     -70                      -5.0332117
                     -65                      -3.9435523
                     -60                      -2.9341823
                     -55                      -2.0174389
                     -50                      -1.1956179
                     -45                     -0.46722405
                     -40                      0.17025829
                     -35                      0.71924063
                     -30                       1.1816517
                     -25                       1.5588831
                     -20                       1.8518639
                     -15                        2.061176
                     -10                       2.1871675
                      -5                       2.2300495
                       0                       2.1899652
                       5                       2.0670285
                      10                       1.8613625
                      15                       1.5730108
                      20                       1.2019443
                      25                      0.74795862
                      30                      0.21056303
                      35                     -0.41114602
                      40                      -1.1186004
                      45                      -1.9137998
                      50                      -2.7991297
                      55                      -3.7766336
                      60                      -4.8460228
                      65                      -5.9998863
                      70                      -7.2130729
                      75                      -8.4217238
                      80                      -9.4918333
                      85                      -10.205782
                      90                      -10.343911
                      95                      -9.8606604
                     100                      -8.9301728
                     105                      -7.7870375
                     110                      -6.5971019
                     115                      -5.4458332
                     120                      -4.3691862
                     125                      -3.3791838
                     130                       -2.477828
                     135                      -1.6635871
                     140                     -0.93416694
                     145                     -0.28757332
                     150                      0.27757473
                     155                      0.76204464
                     160                        1.166105
                     165                       1.4896677
                     170                       1.7324194
                     175                       1.8939267
                     180                       1.9737721

