        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       1.9414982
                    -175                       2.0076276
                    -170                       2.0555746
                    -165                       2.0855551
                    -160                       2.0982479
                    -155                       2.0947537
                    -150                       2.0765725
                    -145                       2.0455719
                    -140                       2.0039478
                    -135                       1.9541742
                    -130                        1.898943
                    -125                       1.8410903
                    -120                       1.7835111
                    -115                       1.7290601
                    -110                       1.6804429
                    -105                       1.6400999
                    -100                       1.6100897
                     -95                       1.5919806
                     -90                       1.5867587
                     -85                       1.5947654
                     -80                       1.6156594
                     -75                       1.6484308
                     -70                       1.6914455
                     -65                       1.7425259
                     -60                       1.7990583
                     -55                       1.8581175
                     -50                       1.9165995
                     -45                        1.971351
                     -40                       2.0192923
                     -35                       2.0575253
                     -30                       2.0834268
                     -25                       2.0947254
                     -20                       2.0895631
                     -15                       2.0665409
                     -10                       2.0247525
                      -5                       1.9638048
                       0                       1.8837868
                       5                       1.7855148
                      10                       1.6699707
                      15                       1.5388488
                      20                       1.3942478
                      25                       1.2386803
                      30                       1.0750239
                      35                      0.90646423
                      40                      0.73643111
                      45                      0.56852802
                      50                      0.40645418
                      55                      0.25391908
                      60                      0.11454867
                      65                   -0.0082172222
                      70                      -0.1112351
                      75                     -0.19177267
                      80                     -0.24762243
                      85                     -0.27720564
                      90                     -0.27965309
                      95                     -0.25486744
                     100                     -0.20353172
                     105                     -0.12708366
                     110                    -0.027649652
                     115                     0.092055873
                     120                      0.22885435
                     125                      0.37923843
                     130                       0.5395076
                     135                      0.70589512
                     140                      0.87468063
                     145                       1.0422858
                     150                       1.2053529
                     155                        1.360808
                     160                         1.50591
                     165                       1.6382901
                     170                       1.7559807
                     175                       1.8574375
                     180                       1.9414982

