        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       1.4712126
                    -175                       1.4555015
                    -170                       1.4269218
                    -165                       1.3861454
                    -160                       1.3341622
                    -155                       1.2722559
                    -150                       1.2019761
                    -145                       1.1251068
                    -140                       1.0436317
                    -135                        0.959694
                    -130                      0.87555202
                    -125                      0.79352769
                    -120                      0.71594799
                    -115                      0.64507854
                    -110                      0.58305037
                    -105                      0.53178204
                    -100                      0.49290122
                     -95                      0.46767112
                     -90                      0.45692798
                     -85                      0.46103888
                     -80                      0.47987009
                     -75                      0.51279837
                     -70                      0.55873549
                     -65                      0.61617865
                     -60                      0.68327867
                     -55                      0.75791983
                     -50                      0.83780508
                     -45                      0.92054083
                     -40                        1.003717
                     -35                       1.0849797
                     -30                       1.1620943
                     -25                       1.2330002
                     -20                       1.2958557
                     -15                        1.349076
                     -10                       1.3913628
                      -5                       1.4217282
                       0                       1.4395118
                       5                        1.444461
                      10                       1.4365223
                      15                       1.4160778
                      20                       1.3838357
                      25                       1.3408294
                      30                       1.2883985
                      35                       1.2281627
                      40                       1.1619892
                      45                       1.0919529
                      50                        1.020287
                      55                      0.94932637
                      60                      0.88144055
                      65                      0.81895851
                      70                      0.76408603
                      75                      0.71881863
                      80                      0.68485458
                      85                      0.66351379
                      90                      0.65566961
                      95                      0.66170008
                     100                       0.6814579
                     105                      0.71427795
                     110                      0.75900491
                     115                      0.81404798
                     120                      0.87745545
                     125                      0.94700302
                     130                       1.0202886
                     135                       1.0948279
                     140                       1.1681447
                     145                       1.2378534
                     150                       1.3017307
                     155                       1.3577758
                     160                       1.4042585
                     165                       1.4397571
                     170                       1.4631842
                     175                       1.4738038
                     180                       1.4712126

