        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       1.8603253
                    -175                       1.8091419
                    -170                       1.7369209
                    -165                       1.6447759
                    -160                       1.5343706
                    -155                       1.4079028
                    -150                       1.2680794
                    -145                       1.1180791
                    -140                      0.96150214
                    -135                      0.80230386
                    -130                      0.64470872
                    -125                      0.49310263
                    -120                      0.35190205
                    -115                      0.22540038
                    -110                      0.11759595
                    -105                     0.032010082
                    -100                    -0.028491974
                     -95                    -0.061860696
                     -90                     -0.06698508
                     -85                    -0.043760389
                     -80                    0.0068946923
                     -75                     0.083101881
                     -70                      0.18213227
                     -65                      0.30056159
                     -60                      0.43445098
                     -55                      0.57953528
                     -50                      0.73140382
                     -45                      0.88566285
                     -40                       1.0380737
                     -35                       1.1846655
                     -30                       1.3218225
                     -25                       1.4463515
                     -20                       1.5555304
                     -15                       1.6471434
                     -10                       1.7195049
                      -5                       1.7714741
                       0                       1.8024626
                       5                       1.8125496
                      10                       1.8021019
                      15                       1.7721939
                      20                       1.7243768
                      25                       1.6606771
                      30                       1.5835541
                      35                       1.4958455
                      40                       1.4007008
                      45                       1.3015025
                      50                       1.2017744
                      55                       1.1050784
                      60                        1.014902
                      65                      0.93453939
                      70                       0.8669709
                      75                      0.81474661
                      80                      0.77988073
                      85                      0.76376402
                      90                      0.76710081
                      95                      0.78987742
                     100                      0.83135571
                     105                       0.8901117
                     110                      0.96409628
                     115                       1.0507234
                     120                       1.1469766
                     125                        1.249527
                     130                       1.3548544
                     135                       1.4593671
                     140                       1.5595135
                     145                       1.6518845
                     150                       1.7333035
                     155                       1.8009041
                     160                       1.8521955
                     165                       1.8851164
                     170                       1.8980782
                     175                       1.8899992
                     180                       1.8603253

