        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       2.3399175
                    -175                       2.3920359
                    -170                       2.4298259
                    -165                       2.4537489
                    -160                       2.4645859
                    -155                       2.4634119
                    -150                       2.4515639
                    -145                        2.430604
                    -140                       2.4022767
                    -135                       2.3684603
                    -130                       2.3311138
                    -125                        2.292218
                    -120                       2.2537141
                    -115                       2.2174395
                    -110                       2.1850652
                    -105                       2.1580352
                    -100                        2.137513
                     -95                       2.1243361
                     -90                       2.1189834
                     -85                       2.1215575
                     -80                       2.1317751
                     -75                       2.1489859
                     -70                       2.1721956
                     -65                       2.2001053
                     -60                       2.2311626
                     -55                       2.2636191
                     -50                       2.2955931
                     -45                       2.3251343
                     -40                       2.3502874
                     -35                       2.3691529
                     -30                       2.3799447
                     -25                       2.3810413
                     -20                       2.3710321
                     -15                       2.3487578
                     -10                        2.313345
                      -5                       2.2642359
                       0                       2.2012118
                       5                        2.124374
                      10                       2.0342897
                      15                       1.9318371
                      20                       1.8182963
                      25                       1.6953296
                      30                         1.56497
                      35                       1.4296007
                      40                       1.2919214
                      45                       1.1549011
                      50                       1.0217125
                      55                      0.89564926
                      60                      0.78002335
                      65                      0.67804508
                      70                      0.59269064
                      75                      0.52656434
                      80                      0.48176604
                      85                      0.45977611
                      90                      0.46137368
                      95                      0.48657551
                     100                      0.53465593
                     105                      0.60417695
                     110                      0.69307469
                     115                      0.79877245
                     120                      0.91831166
                     125                       1.0484886
                     130                       1.1859861
                     135                       1.3274935
                     140                       1.4698087
                     145                       1.6099221
                     150                       1.7450822
                     155                       1.8728434
                     160                        1.991101
                     165                       2.0981129
                     170                       2.1925118
                     175                       2.2733105
                     180                       2.3399175

