        Theta / deg                Directivity,Phi=45.0/
----------------------------------------------------------------------
                    -180                       2.3241322
                    -175                        2.419764
                    -170                       2.4399679
                    -165                       2.3857305
                    -160                       2.2584417
                    -155                       2.0599508
                    -150                       1.7926564
                    -145                       1.4596579
                    -140                       1.0650086
                    -135                      0.61412729
                    -130                      0.11444252
                    -125                     -0.42364577
                    -120                     -0.98543219
                    -115                      -1.5502707
                    -110                      -2.0900342
                    -105                      -2.5686638
                    -100                      -2.9444787
                     -95                      -3.1768332
                     -90                      -3.2365592
                     -85                       -3.115756
                     -80                      -2.8307628
                     -75                      -2.4161493
                     -70                      -1.9139659
                     -65                      -1.3643656
                     -60                     -0.80061741
                     -55                     -0.24801063
                     -50                      0.27513771
                     -45                      0.75582903
                     -40                       1.1848313
                     -35                       1.5554792
                     -30                       1.8628344
                     -25                       2.1031334
                     -20                       2.2734411
                     -15                        2.371439
                     -10                       2.3952997
                      -5                       2.3436129
                       0                       2.2153373
                       5                       2.0097953
                      10                        1.726509
                      15                       1.3653689
                      20                      0.92643831
                      25                       0.4099393
                      30                     -0.18380131
                      35                     -0.85438692
                      40                      -1.6013272
                      45                      -2.4238715
                      50                      -3.3205287
                      55                      -4.2879381
                      60                      -5.3184394
                      65                      -6.3951886
                      70                      -7.4831331
                      75                      -8.5148662
                      80                      -9.3764691
                      85                      -9.9149652
                      90                      -9.9984821
                      95                      -9.6056064
                     100                      -8.8424734
                     105                        -7.86417
                     110                      -6.7985927
                     115                      -5.7256349
                     120                      -4.6880857
                     125                      -3.7068602
                     130                      -2.7915832
                     135                      -1.9465273
                     140                      -1.1736247
                     145                     -0.47389015
                     150                      0.15196111
                     155                      0.70328751
                     160                       1.1794772
                     165                       1.5799815
                     170                       1.9043751
                     175                       2.1524191
                     180                       2.3241322

