        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       2.2638228
                    -175                       2.2782398
                    -170                       2.2140923
                    -165                        2.069614
                    -160                       1.8430002
                    -155                       1.5322419
                    -150                       1.1349291
                    -145                      0.64802543
                    -140                     0.067627395
                    -135                     -0.61124941
                    -130                      -1.3947436
                    -125                       -2.289798
                    -120                      -3.3026892
                    -115                      -4.4347487
                    -110                      -5.6713679
                    -105                      -6.9565379
                    -100                      -8.1452404
                     -95                      -8.9614914
                     -90                      -9.0929719
                     -85                      -8.4749608
                     -80                      -7.3665315
                     -75                      -6.0798904
                     -70                      -4.8046318
                     -65                      -3.6217747
                     -60                      -2.5566981
                     -55                      -1.6120366
                     -50                     -0.78267267
                     -45                    -0.061772633
                     -40                      0.55701697
                     -35                       1.0789284
                     -30                       1.5080335
                     -25                       1.8474174
                     -20                       2.0994097
                     -15                       2.2658118
                     -10                       2.3481018
                      -5                        2.347611
                       0                       2.2656759
                       5                       2.1038651
                      10                       1.8637943
                      15                       1.5476287
                      20                       1.1580138
                      25                      0.69827901
                      30                      0.17265833
                      35                     -0.41339781
                      40                      -1.0527712
                      45                      -1.7360231
                      50                      -2.4504762
                      55                      -3.1790018
                      60                      -3.8986064
                      65                      -4.5792056
                      70                      -5.1834826
                      75                      -5.6692663
                      80                      -5.9957078
                      85                      -6.1326911
                      90                      -6.0696962
                      95                      -5.8188656
                     100                      -5.4102458
                     105                      -4.8824647
                     110                      -4.2741018
                     115                      -3.6186552
                     120                      -2.9429926
                     125                      -2.2678494
                     130                      -1.6090748
                     135                      -0.9789013
                     140                     -0.38696356
                     145                      0.15896936
                     150                      0.65249797
                     155                       1.0882654
                     160                       1.4617414
                     165                       1.7690753
                     170                       2.0069876
                     175                       2.1726815
                     180                       2.2638228

