        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       1.9705074
                    -175                       2.0106508
                    -170                       2.0319396
                    -165                       2.0332788
                    -160                       2.0142468
                    -155                       1.9750212
                    -150                       1.9163991
                    -145                       1.8398081
                    -140                       1.7473094
                    -135                       1.6415886
                    -130                       1.5259327
                    -125                       1.4041837
                    -120                       1.2806626
                    -115                       1.1600533
                    -110                       1.0472385
                    -105                      0.94708286
                    -100                      0.86416955
                     -95                       0.8025046
                     -90                      0.76521953
                     -85                      0.75431198
                     -80                      0.77045921
                     -75                      0.81295192
                     -70                        0.879747
                     -65                      0.96764069
                     -60                       1.0725303
                     -55                        1.189724
                     -50                       1.3142569
                     -45                       1.4411785
                     -40                       1.5657915
                     -35                       1.6838324
                     -30                       1.7915946
                     -25                       1.8860026
                     -20                       1.9646459
                     -15                        2.025782
                     -10                       2.0683169
                      -5                       2.0917699
                       0                       2.0961974
                       5                       2.0822998
                      10                       2.0509654
                      15                       2.0036804
                      20                       1.9421713
                      25                        1.868404
                      30                        1.784517
                      35                       1.6927591
                      40                        1.595434
                      45                       1.4948528
                      50                       1.3932962
                      55                       1.2929847
                      60                       1.1960568
                      65                       1.1045524
                      70                       1.0203992
                      75                      0.94539899
                      80                       0.8812117
                      85                      0.82933389
                      90                      0.79107375
                      95                      0.76750929
                     100                      0.75945778
                     105                      0.76742626
                     110                      0.79156744
                     115                      0.83163786
                     120                      0.88696408
                     125                      0.95642177
                     130                       1.0384322
                     135                       1.1309793
                     140                        1.231649
                     145                       1.3376903
                     150                       1.4460952
                     155                       1.5536939
                     160                       1.6572589
                     165                       1.7536128
                     170                       1.8397339
                     175                       1.9128547
                     180                       1.9705074

