        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       1.2231603
                    -175                       1.1321956
                    -170                       1.0125333
                    -165                      0.86406847
                    -160                       0.6872258
                    -155                      0.48303208
                    -150                      0.25321416
                    -145                   0.00032542951
                    -140                      -0.2720982
                    -135                     -0.55935842
                    -130                     -0.85540755
                    -125                      -1.1526896
                    -120                      -1.4420693
                    -115                      -1.7129376
                    -110                      -1.9535959
                    -105                      -2.1520086
                    -100                      -2.2969332
                     -95                      -2.3792985
                     -90                       -2.393541
                     -85                      -2.3385216
                     -80                      -2.2177011
                     -75                      -2.0385699
                     -70                      -1.8114406
                     -65                      -1.5480561
                     -60                      -1.2603216
                     -55                     -0.95937465
                     -50                     -0.65503942
                     -45                     -0.35560721
                     -40                    -0.067838727
                     -35                      0.20290836
                     -30                      0.45250015
                     -25                       0.6778413
                     -20                      0.87670832
                     -15                       1.0476113
                     -10                       1.1896853
                      -5                       1.3026096
                       0                       1.3865495
                       5                       1.4420425
                      10                       1.4702438
                      15                       1.4725359
                      20                       1.4507476
                      25                       1.4070952
                      30                       1.3441751
                      35                       1.2649511
                      40                       1.1727349
                      45                       1.0711515
                      50                      0.96408807
                      55                      0.85561874
                      60                      0.74990366
                      65                      0.65105985
                      70                      0.56300659
                      75                      0.48929252
                      80                      0.43291666
                      85                      0.39616067
                      90                      0.38044377
                      95                      0.38626486
                     100                       0.4131219
                     105                      0.45958314
                     110                      0.52337151
                     115                      0.60150441
                     120                      0.69046135
                     125                      0.78636041
                     130                      0.88512742
                     135                      0.98264604
                     140                       1.0748825
                     145                       1.1579832
                     150                       1.2283474
                     155                       1.2826775
                     160                       1.3180138
                     165                       1.3317567
                     170                       1.3216813
                     175                       1.2859498
                     180                       1.2231603

