        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       1.3365354
                    -175                        1.303152
                    -170                       1.2704951
                    -165                       1.2390935
                    -160                       1.2092219
                    -155                        1.180933
                    -150                       1.1541227
                    -145                       1.1286111
                    -140                        1.104228
                    -135                       1.0808866
                    -130                       1.0586361
                    -125                       1.0376859
                    -120                       1.0184005
                    -115                       1.0012683
                    -110                      0.98684783
                    -105                      0.97570288
                    -100                      0.96833161
                     -95                       0.9651012
                     -90                      0.96619468
                     -85                      0.97157927
                     -80                      0.98098811
                     -75                      0.99394008
                     -70                       1.0097758
                     -65                       1.0277145
                     -60                       1.0469257
                     -55                       1.0666078
                     -50                       1.0860652
                     -45                       1.1047752
                     -40                       1.1224366
                     -35                       1.1389924
                     -30                       1.1546216
                     -25                       1.1696999
                     -20                       1.1847301
                     -15                       1.2002511
                     -10                       1.2167376
                      -5                       1.2345042
                       0                       1.2536326
                       5                        1.273896
                      10                       1.2948921
                      15                       1.3159177
                      20                       1.3361502
                      25                       1.3547296
                      30                       1.3708691
                      35                       1.3839548
                      40                       1.3936247
                      45                       1.3998166
                      50                       1.4027811
                      55                       1.4030618
                      60                       1.4014443
                      65                       1.3988815
                      70                       1.3964029
                      75                        1.395015
                      80                       1.3956042
                      85                       1.3988489
                      90                        1.405149
                      95                       1.4145843
                     100                       1.4268875
                     105                       1.4414653
                     110                       1.4574371
                     115                       1.4737012
                     120                       1.4890204
                     125                       1.5021199
                     130                       1.5117888
                     135                       1.5169776
                     140                       1.5168838
                     145                       1.5110169
                     150                       1.4992386
                     155                       1.4817708
                     160                       1.4591724
                     165                       1.4322815
                     170                       1.4021312
                     175                       1.3698452
                     180                       1.3365354

