        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       1.5220639
                    -175                       1.5754042
                    -170                       1.5791962
                    -165                       1.5338257
                    -160                       1.4398508
                    -155                       1.2980426
                    -150                       1.1094603
                    -145                      0.87557044
                    -140                      0.59842777
                    -135                      0.28094025
                    -130                    -0.072756098
                    -125                      -0.4567869
                    -120                     -0.86288546
                    -115                      -1.2796327
                    -110                      -1.6917278
                    -105                      -2.0795948
                    -100                      -2.4198337
                     -95                      -2.6871261
                     -90                      -2.8579133
                     -85                       -2.915279
                     -80                      -2.8532866
                     -75                      -2.6787334
                     -70                      -2.4092451
                     -65                      -2.0688508
                     -60                      -1.6831144
                     -55                      -1.2755165
                     -50                     -0.86561161
                     -45                     -0.46861758
                     -40                    -0.095827152
                     -35                      0.24465945
                     -30                      0.54717768
                     -25                      0.80784873
                     -20                       1.0240717
                     -15                       1.1941479
                     -10                       1.3170126
                      -5                        1.392048
                       0                       1.4189548
                       5                       1.3976678
                      10                       1.3282841
                      15                       1.2110868
                      20                       1.0464896
                      25                      0.83507496
                      30                       0.5776489
                      35                      0.27534168
                      40                    -0.070224057
                      45                     -0.45666795
                      50                      -0.8804484
                      55                      -1.3362717
                      60                       -1.816268
                      65                      -2.3089233
                      70                      -2.7978675
                      75                      -3.2608496
                      80                      -3.6696117
                      85                      -3.9917356
                      90                      -4.1954045
                      95                      -4.2566075
                     100                      -4.1663715
                     105                      -3.9337771
                     110                      -3.5830642
                     115                      -3.1465633
                     120                      -2.6573565
                     125                      -2.1444055
                     130                      -1.6306014
                     135                      -1.1328313
                     140                     -0.66297937
                     145                     -0.22913808
                     150                      0.16331535
                     155                      0.51088152
                     160                      0.81133332
                     165                       1.0632971
                     170                       1.2659718
                     175                       1.4189453
                     180                       1.5220639

