        Theta / deg                Directivity,Phi=45.0/
----------------------------------------------------------------------
                    -180                       2.3340442
                    -175                       2.4309038
                    -170                       2.4492973
                    -165                       2.3898807
                    -160                       2.2532926
                    -155                       2.0401752
                    -150                       1.7512052
                    -145                       1.3871609
                    -140                      0.94907229
                    -135                      0.43852951
                    -130                     -0.14172326
                    -125                     -0.78669866
                    -120                      -1.4872616
                    -115                      -2.2269912
                    -110                      -2.9775002
                    -105                      -3.6927625
                    -100                      -4.3055347
                     -95                      -4.7331356
                     -90                      -4.9003303
                     -85                       -4.773525
                     -80                      -4.3798033
                     -75                      -3.7915142
                     -70                      -3.0922082
                     -65                      -2.3516945
                     -60                      -1.6185574
                     -55                     -0.92309091
                     -50                     -0.28295467
                     -45                      0.29197377
                     -40                      0.79629029
                     -35                       1.2270379
                     -30                       1.5825399
                     -25                       1.8617586
                     -20                       2.0639579
                     -15                       2.1885361
                     -10                       2.2349462
                      -5                       2.2026568
                       0                       2.0911234
                       5                       1.8999401
                      10                       1.6280223
                      15                       1.2746386
                      20                      0.83850136
                      25                      0.31772901
                      30                     -0.29048324
                      35                     -0.99033909
                      40                      -1.7881302
                      45                      -2.6932495
                      50                      -3.7197152
                      55                      -4.8885274
                      60                      -6.2314302
                      65                      -7.7970642
                      70                      -9.6608839
                      75                      -11.937992
                      80                      -14.769845
                      85                      -18.007125
                      90                      -19.485452
                      95                      -17.065444
                     100                      -13.849308
                     105                       -11.17356
                     110                      -9.0152192
                     115                      -7.2331219
                     120                       -5.724867
                     125                      -4.4240989
                     130                      -3.2878871
                     135                      -2.2880386
                     140                      -1.4057804
                     145                     -0.62849543
                     150                     0.052337219
                     155                      0.64248309
                     160                       1.1458496
                     165                       1.5650987
                     170                       1.9020715
                     175                       2.1580821
                     180                       2.3340442

