        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       1.8334574
                    -175                       1.8970254
                    -170                       1.9621025
                    -165                       2.0267905
                    -160                       2.0891767
                    -155                       2.1475149
                    -150                       2.2003423
                    -145                       2.2465619
                    -140                       2.2854873
                    -135                       2.3168492
                    -130                       2.3407683
                    -125                          2.3577
                    -120                       2.3683573
                    -115                       2.3736204
                    -110                       2.3744394
                    -105                       2.3717383
                    -100                       2.3663269
                     -95                       2.3588279
                     -90                       2.3496239
                     -85                       2.3388285
                     -80                       2.3262853
                     -75                        2.311588
                     -70                       2.2941331
                     -65                       2.2731882
                     -60                       2.2479768
                     -55                       2.2177727
                     -50                       2.1819958
                     -45                        2.140304
                     -40                       2.0926708
                     -35                       2.0394428
                     -30                       1.9813694
                     -25                       1.9195962
                     -20                       1.8556206
                     -15                       1.7912047
                     -10                       1.7282529
                      -5                       1.6686618
                       0                       1.6141955
                       5                       1.5662223
                      10                       1.5256848
                      15                       1.4930876
                      20                       1.4683862
                      25                       1.4510744
                      30                       1.4402826
                      35                        1.434905
                      40                       1.4337339
                      45                       1.4355832
                      50                       1.4393846
                      55                       1.4442511
                      60                       1.4495066
                      65                       1.4546854
                      70                        1.459508
                      75                       1.4638446
                      80                       1.4676711
                      85                       1.4710294
                      90                       1.4739953
                      95                       1.4766602
                     100                        1.479123
                     105                       1.4815048
                     110                       1.4839707
                     115                       1.4867612
                     120                       1.4902257
                     125                       1.4948513
                     130                       1.5012796
                     135                        1.510302
                     140                       1.5228302
                     145                        1.539836
                     150                       1.5622647
                     155                       1.5909267
                     160                       1.6263821
                     165                        1.668834
                     170                       1.7180495
                     175                       1.7733243
                     180                       1.8334574

