        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       2.3024446
                    -175                       2.3866605
                    -170                       2.3871315
                    -165                        2.302644
                    -160                        2.131881
                    -155                       1.8732666
                    -150                       1.5247769
                    -145                       1.0837161
                    -140                      0.54646524
                    -135                     -0.09176751
                    -130                     -0.83711476
                    -125                      -1.6969259
                    -120                      -2.6788209
                    -115                      -3.7876003
                    -110                       -5.016809
                    -105                      -6.3279141
                    -100                       -7.606448
                     -95                       -8.603916
                     -90                      -8.9730935
                     -85                      -8.5412865
                     -80                      -7.5127474
                     -75                      -6.2334611
                     -70                       -4.937687
                     -65                      -3.7300337
                     -60                      -2.6445341
                     -55                      -1.6859652
                     -50                     -0.84903643
                     -45                     -0.12608634
                     -40                      0.49013142
                     -35                       1.0056214
                     -30                       1.4250675
                     -25                       1.7520164
                     -20                       1.9891313
                     -15                       2.1384421
                     -10                       2.2015681
                      -5                       2.1799042
                       0                       2.0747741
                       5                       1.8875505
                      10                       1.6197593
                      15                        1.273151
                      20                      0.84976845
                      25                      0.35201141
                      30                      -0.2172855
                      35                     -0.85473318
                      40                      -1.5561823
                      45                      -2.3163543
                      50                      -3.1281808
                      55                      -3.9816474
                      60                      -4.8618516
                      65                      -5.7459512
                      70                      -6.5989512
                      75                       -7.369367
                      80                      -7.9883387
                      85                      -8.3787446
                      90                      -8.4785538
                      95                      -8.2688886
                     100                      -7.7841593
                     105                      -7.0943327
                     110                       -6.276157
                     115                      -5.3938787
                     120                      -4.4938464
                     125                      -3.6070043
                     130                      -2.7534282
                     135                      -1.9462388
                     140                      -1.1943076
                     145                     -0.50394339
                     150                      0.12011406
                     155                      0.67412786
                     160                       1.1550464
                     165                       1.5603245
                     170                       1.8878168
                     175                        2.135705
                     180                       2.3024446

