        Theta / deg                Directivity,Phi=45.0/
----------------------------------------------------------------------
                    -180                       2.3191078
                    -175                       2.3718061
                    -170                       2.3496285
                    -165                       2.2527311
                    -160                        2.081297
                    -155                       1.8355496
                    -150                        1.515784
                    -145                       1.1224482
                    -140                       0.6563266
                    -135                      0.11891447
                    -130                     -0.48686425
                    -125                      -1.1553495
                    -120                      -1.8758767
                    -115                      -2.6290966
                    -110                       -3.381678
                    -105                      -4.0804798
                    -100                      -4.6506067
                     -95                      -5.0060698
                     -90                      -5.0789582
                     -85                      -4.8538004
                     -80                      -4.3766932
                     -75                      -3.7295781
                     -70                      -2.9952659
                     -65                      -2.2377766
                     -60                      -1.4994322
                     -55                      -0.8056535
                     -50                     -0.17080155
                     -45                      0.39733908
                     -40                      0.89465947
                     -35                       1.3190034
                     -30                       1.6691981
                     -25                       1.9445324
                     -20                       2.1444924
                     -15                       2.2686353
                     -10                       2.3165368
                      -5                         2.28777
                       0                       2.1818931
                       5                       1.9986388
                      10                       1.7370924
                      15                       1.3967322
                      20                       0.9766436
                      25                      0.47554453
                      30                     -0.10839578
                      35                     -0.77778587
                      40                       -1.536279
                      45                      -2.3888389
                      50                      -3.3418863
                      55                      -4.4030124
                      60                      -5.5794368
                      65                      -6.8731149
                      70                      -8.2673663
                      75                      -9.6943373
                      80                      -10.972868
                      85                      -11.762792
                      90                      -11.726905
                      95                       -10.88871
                     100                      -9.6024197
                     105                      -8.1928172
                     110                      -6.8250339
                     115                      -5.5585756
                     120                      -4.4066147
                     125                      -3.3658441
                     130                      -2.4285701
                     135                      -1.5870891
                     140                     -0.83503232
                     145                     -0.16757887
                     150                      0.41871987
                     155                      0.92621971
                     160                       1.3564607
                     165                       1.7104056
                     170                       1.9886325
                     175                       2.1914815
                     180                       2.3191078

