        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       1.1893819
                    -175                       1.1947569
                    -170                        1.171489
                    -165                       1.1202919
                    -160                       1.0424378
                    -155                      0.93972958
                    -150                      0.81447306
                    -145                      0.66945097
                    -140                      0.50789998
                    -135                      0.33348952
                    -130                      0.15030073
                    -125                    -0.037197777
                    -120                     -0.22418353
                    -115                     -0.40553149
                    -110                     -0.57589425
                    -105                     -0.72982357
                    -100                     -0.86194412
                     -95                     -0.96718461
                     -90                       -1.041061
                     -85                      -1.0799908
                     -80                       -1.081598
                     -75                      -1.0449839
                     -70                     -0.97086686
                     -65                     -0.86160574
                     -60                      -0.7210717
                     -55                     -0.55439246
                     -50                     -0.36761012
                     -45                     -0.16730449
                     -40                     0.039769973
                     -35                      0.24699853
                     -30                      0.44815356
                     -25                      0.63757164
                     -20                      0.81026704
                     -15                      0.96199413
                     -10                       1.0892717
                      -5                       1.1893819
                       0                       1.2603527
                       5                       1.3009003
                      10                       1.3105374
                      15                       1.2893443
                      20                       1.2380793
                      25                       1.1581276
                      30                       1.0514895
                      35                       0.9207737
                      40                      0.76919582
                      45                      0.60057785
                      50                      0.41934451
                      55                      0.23050733
                      60                     0.039624773
                      65                      -0.1472772
                      70                     -0.32384164
                      75                     -0.48358992
                      80                      -0.6202121
                      85                     -0.72793154
                      90                     -0.80192074
                      95                       -0.838683
                     100                     -0.83643295
                     105                     -0.79526199
                     110                     -0.71716823
                     115                     -0.60588929
                     120                     -0.46657987
                     125                     -0.30539457
                     130                     -0.12904488
                     135                      0.05561068
                     140                       0.2419054
                     145                      0.42361715
                     150                      0.59513787
                     155                      0.75157305
                     160                      0.88878825
                     165                       1.0034193
                     170                       1.0928595
                     175                       1.1552333
                     180                       1.1893819

